"Juridisk term","Brukervennlig term","Forklarende term","Definisjon","Lovhenvisning","Kategori","Risikonivå","Risikobeskrivelse","Rettssak-risiko","Formuleringer å unngå","Eksempel nivå 1","Eksempel nivå 2","Eksempel nivå 3","Relaterte begreper","Forvekslingsfare","Engelsk ekvivalent","Kommentar","Kilde"
"Fordeling","Hvordan pengene deles","Fordeling av vederlag til rettighetshavere","Prosessen der innkrevd vederlag beregnes og tildeles de enkelte rettighetshavere basert på faktisk bruk.","CRM-loven § 21","Økonomi","Medium","Fordelingsreglene kan oppfattes som urettferdige. Transparens er viktig.","Kanskje","'splitting' i juridisk sammenheng; 'deling' (upresist)","Pengene fordeles etter hvor mye musikken din ble spilt.","Gramo fordeler vederlag basert på rapportert bruk fra radio, TV og andre brukere.","Fordeling skjer iht. fordelingsreglementet og baseres på faktisk bruk så langt praktisk mulig.","Utbetaling; Vederlag; Fordelingsreglement","Nei","Distribution; Allocation","Gramo fordeler 50/50 mellom utøvere og produsenter. Internt i hver gruppe fordeles etter roller.","CRM-loven § 21; Gramos fordelingsreglement"
"Utbetaling","Pengene du får","Overføring av vederlag til din konto (utbetaling)","Selve overføringen av fordelt vederlag til rettighetshavers konto. Gramo utbetaler fire ganger årlig.","CRM-loven § 21 andre ledd","Økonomi","Lav","Forventning om hyppigere utbetalinger. Minstegrense kan frustrere småartister.","Nei","'lønn'; 'honorar' (det er ikke ansettelse)","Du får utbetaling fire ganger i året.","Gramo utbetaler vederlag i mars, juni, september og desember.","Utbetaling skjer senest 9 måneder etter utløpet av regnskapsåret vederlaget ble innkrevd.","Fordeling; Minstegrense; Avregning","Nei","Payment; Disbursement","Fire årlige utbetalinger. Krav om minstegrense for utbetaling.","CRM-loven § 21"
"Minstegrense for utbetaling","Minstebeløp","Minstebeløp før du får utbetalt (minstegrense)","Det minste beløpet som må være opptjent før utbetaling skjer. Oppsparte beløp under grensen akkumuleres.","Gramos vedtekter","Økonomi","Medium","Frustrerer småartister. Kan oppfattes som at pengene 'forsvinner' - de oppspares.","Nei","'tap av penger'; 'konfiskering'; 'gebyrtrekk'","Beløp under 300 kr oppspares til neste gang.","Hvis du har tjent mindre enn minstegrensen, oppspares beløpet til det overstiger grensen.","Vederlag under minstegrensen akkumuleres og utbetales når samlet beløp overstiger terskelen.","Utbetaling; Fordeling; Administrasjonskostnader","Nei","Minimum threshold; Payment threshold","Minstegrensen er satt for å unngå uforholdsmessige administrasjonskostnader.","Gramos vedtekter"
"Administrasjonskostnader","Gramos kostnader","Kostnader til drift av Gramo (administrasjonskostnader)","Fradrag fra innkrevd vederlag som dekker Gramos kostnader til forvaltning, innkreving og fordeling.","CRM-loven §§ 20, 3 bokstav h","Økonomi","Medium","Kan oppfattes som 'skjulte gebyrer'. Transparens er lovpålagt.","Kanskje","'gebyr'; 'avgift til Gramo'; 'provisjon'","En del av vederlaget går til å drifte Gramo.","Administrasjonskostnader dekker drift, systemer og fordeling av vederlag.","Administrasjonskostnader skal ikke overstige begrunnede og dokumenterte kostnader, jf. CRM-loven § 20.","Vederlag; Fordeling; Åpenhetsrapport","Nei","Management costs; Administration fees","Lovpålagt transparens. Gramo publiserer årlig åpenhetsrapport.","CRM-loven § 20"
"Rettighetsvederlag","Innkrevd vederlag","Penger Gramo samler inn (rettighetsvederlag)","Samlebegrep for vederlag som kreves inn av en kollektiv forvaltningsorganisasjon på vegne av rettighetshavere.","CRM-loven § 3 bokstav g","Økonomi","Lav","Juridisk presist men teknisk. Bruk 'vederlag' i dagligtale.","Nei","'inntekter' alene; 'omsetning'","Pengene Gramo samler inn for deg.","Rettighetsvederlag er pengene Gramo krever inn fra de som spiller musikk offentlig.","Rettighetsvederlag iht. CRM-loven § 3 bokstav g omfatter alle innkrevde vederlag.","Vederlag; Innkreving; Fordeling","Nei","Rights revenue; Collected royalties","Juridisk terminologi fra CRM-loven.","CRM-loven § 3 bokstav g"
"ISRC","Musikkens ID-nummer","Innspillingens unike kode (ISRC)","International Standard Recording Code - et unikt 12-tegns identifikasjonsnummer for hver innspilling.","ISO 3901","Teknisk","Høy","Uten ISRC kan ikke Gramo identifisere innspillingen. Mange mangler forståelse av viktigheten.","Nei","'ISRC-kode' er redundant (C=Code); 'låtkode' (upresist)","ISRC er som et personnummer for musikken din.","Alle innspillinger trenger ISRC for at Gramo skal kunne betale deg riktig.","ISRC etter ISO 3901 er påkrevd for korrekt identifikasjon og vederlagsfordeling.","Registrantkode; Lydopptak; Metadata","Ja","International Standard Recording Code","KRITISK for fordeling. Toppoppgave #1. De fleste distributører tildeler automatisk.","ISO 3901"
"Registrantkode","Din utgiver-ID","Kode som identifiserer deg som utgiver (registrantkode)","3-tegns kode tildelt av Gramo som identifiserer deg som produsent/utgiver. Brukes i ISRC.","ISO 3901","Teknisk","Medium","Forveksles med ISRC. Noen tror de trenger ny kode for hver utgivelse.","Nei","'ISRC-kode' (registrantkode er en del av ISRC); 'label-kode'","Din 3-tegns kode som utgiver.","Registrantkoden er din unike ID. Du bruker samme kode på alle utgivelser.","Registrantkode (3 alfanumeriske tegn) tildeles av ISRC-byrået og inngår i ISRC-strukturen.","ISRC; Label; Produsent","Ja","Registrant code; Issuer code","Tildeles én gang. Samme kode brukes for alle labels under samme eier.","ISO 3901"
"Metadata","Informasjon om musikken","Data som beskriver innspillingen (metadata)","All informasjon knyttet til et lydopptak: artist, tittel, utøvere, produsent, ISRC, utgivelsesdato etc.","CRM-loven § 38","Teknisk","Medium","Ufullstendig eller feil metadata fører til at vederlag ikke når riktig mottaker.","Nei","'data' alene; 'info'","Informasjon om hvem som spilte og sang på låten.","Korrekt metadata sikrer at alle som var med på innspillingen får betalt.","Metadata skal følge frivillige bransjestandarder for å sikre korrekt fordeling, jf. CRM-loven § 38.","ISRC; Kreditt; Registrering","Nei","Metadata","Datakvalitet er avgjørende for riktig fordeling. 'Garbage in, garbage out.'","CRM-loven § 38"
"Rapportering","Spillelister fra radio/TV","Lister over hva som er spilt (rapportering)","Dokumentasjon fra brukere (radio, TV, etc.) om hvilke lydopptak som er spilt og hvor ofte.","CRM-loven § 31","Teknisk","Medium","Ufullstendig rapportering fra små radioer gjør det vanskelig å fordele korrekt.","Nei","'logging' i norsk tekst; 'registrering' (forveksles med Gramo-registrering)","Radio forteller oss hva de har spilt.","Radiokanaler rapporterer til Gramo hvilken musikk de har spilt.","Brukere plikter å rapportere om faktisk bruk iht. CRM-loven § 31.","Bruker; Fordeling; Spilleliste","Nei","Reporting; Usage reporting","NRK rapporterer detaljert. Kvaliteten på rapportering fra mindre aktører varierer.","CRM-loven § 31"
"Kollektiv forvaltningsorganisasjon","Organisasjon som forvalter musikkrettigheter","Organisasjon som Gramo (kollektiv forvaltningsorganisasjon)","Organisasjon som forvalter opphavsrett eller nærstående rettigheter på vegne av flere rettighetshavere.","CRM-loven § 3 bokstav a","Organisatorisk","Lav","Juridisk term. Bruk 'Gramo' eller enklere forklaring i dagligtale.","Nei","'forvaltningsselskap'; 'rettighetsorganisasjon' alene","Gramo tar vare på musikkrettighetene dine.","Gramo er en kollektiv forvaltningsorganisasjon som samler inn og fordeler vederlag.","Gramo er godkjent som kollektiv forvaltningsorganisasjon iht. CRM-loven.","TONO; Kopinor; IFPI","Ja","Collective Management Organisation (CMO)","Regulert av CRM-loven. Gramo er én av flere CMO-er i Norge.","CRM-loven § 3 bokstav a"
"Medlem","Registrert hos Gramo","Person eller selskap registrert hos Gramo (medlem)","Rettighetshaver eller organisasjon som oppfyller kravene til og er registrert som medlem i Gramo.","CRM-loven § 10","Organisatorisk","Lav","Noen tror de må være 'medlem' for å få vederlag. Tilknytning kan også skje via representasjonsavtaler.","Nei","'kunde'; 'abonnent'; 'bruker' (det er de som betaler vederlag)","Er du registrert hos Gramo?","Som medlem i Gramo får du vederlag når musikken din spilles.","Medlemskap gir rett til deltakelse i årsmøte og beslutningsprosesser iht. CRM-loven § 10.","Rettighetshaver; Årsmøte; Vedtekter","Nei","Member","Medlemskap gir medbestemmelsesrett i tillegg til vederlagsrettigheter.","CRM-loven § 10"
"Årsmøte","Årlig møte for medlemmer","Gramos øverste organ (årsmøte)","Det øverste organet i Gramo der medlemmene utøver sin stemmerett og fatter vedtak.","CRM-loven § 12","Organisatorisk","Lav","Lav deltakelse. Mange vet ikke at de har medbestemmelsesrett.","Nei","'generalforsamling' (brukes i aksjeselskap)","Du kan være med og bestemme i Gramo.","På årsmøtet kan du som medlem stemme over viktige saker som fordelingsregler.","Årsmøtet er Gramos øverste beslutningsorgan iht. CRM-loven § 12.","Medlem; Styre; Vedtekter","Nei","General assembly; Annual meeting","Viktig for demokratisk legitimitet. Medlemmer kan delta og påvirke.","CRM-loven § 12"
"Fordelingsreglement","Regler for hvordan pengene deles","Reglene for fordeling av vederlag (fordelingsreglement)","Dokumentet som fastsetter prinsippene for hvordan vederlag skal fordeles mellom rettighetshavere.","CRM-loven § 12 fjerde ledd bokstav a","Organisatorisk","Medium","Komplekst dokument. Kan oppfattes som urettferdig hvis ikke forstått.","Kanskje","'utbetalingsregler'; 'betalingsplan'","Reglene som bestemmer hvem som får hvor mye.","Fordelingsreglementet forklarer hvordan vederlag fordeles mellom utøvere og produsenter.","Fordelingsreglementet vedtas av årsmøtet iht. CRM-loven § 12 fjerde ledd bokstav a.","Fordeling; Årsmøte; Vedtekter","Nei","Distribution rules; Allocation scheme","50/50-deling mellom utøvere og produsenter er hovedregelen.","CRM-loven § 12; Gramos fordelingsreglement"
"Vedtekter","Gramos regler","Gramos grunnleggende regler (vedtekter)","Dokumentet som fastsetter de grunnleggende reglene for organisasjonens drift og styring.","CRM-loven § 3 bokstav e","Organisatorisk","Lav","Få leser vedtektene. Kan føre til misforståelser om rettigheter og plikter.","Ja","'statutter'; 'regelverk' alene","Reglene for hvordan Gramo drives.","Vedtektene beskriver hvordan Gramo er organisert og hvilke rettigheter du har som medlem.","Vedtektene fastsettes av årsmøtet og regulerer organisasjonens virksomhet.","Årsmøte; Styre; Medlem","Nei","Articles of association; Statutes","Grunnlaget for all virksomhet. Endringer krever årsmøtevedtak.","CRM-loven § 3 bokstav e"
"Åpenhetsrapport","Årsrapport","Gramos årlige rapport om virksomheten (åpenhetsrapport)","Lovpålagt årlig rapport som dokumenterer Gramos virksomhet, økonomi og forvaltning.","CRM-loven § 36","Organisatorisk","Lav","Teknisk dokument. Viktig for tillit og transparens.","Nei","'kvartalsrapport'; 'finansrapport'","Her kan du se hva Gramo gjør og hvor pengene går.","Åpenhetsrapporten viser hvor mye Gramo har samlet inn og fordelt.","Åpenhetsrapport iht. CRM-loven § 36 skal offentliggjøres senest 8 måneder etter regnskapsårets slutt.","Administrasjonskostnader; Fordeling; Transparens","Nei","Transparency report; Annual report","Lovpålagt transparens. Publiseres på gramo.no.","CRM-loven § 36"
"Vernetid","Hvor lenge rettighetene varer","Rettighetenes varighet (vernetid)","Tidsperioden nærstående rettigheter er beskyttet. 70 år fra publisering for lydopptak.","Åndsverkloven § 22","Vernetid","Medium","Komplekse overgangsregler. Eldre opptak kan ha kortere vernetid.","Ja","'opphavsrett' (det er 70 år etter opphavspersonens død)","Rettigheter varer i 70 år.","Lydopptak er beskyttet i 70 år fra utgivelse.","Vernetiden for lydopptak er 70 år fra publisering, jf. åndsverkloven § 22.","Nærstående rettigheter; Arving; Public domain","Ja","Term of protection","Utvidet fra 50 til 70 år i 2013. Eldre opptak har overgangsregler.","Åndsverkloven § 22"
"Roma-konvensjonen","Internasjonal avtale om musikkrettigheter","Avtale som sikrer rettigheter på tvers av land (Roma-konvensjonen)","Internasjonal konvensjon fra 1961 som sikrer gjensidig beskyttelse av nærstående rettigheter mellom land.","Roma-konvensjonen 1961","Vernetid","Medium","Ikke alle land er med. Rettigheter varierer internasjonalt.","Kanskje","'internasjonal lov' (det er en konvensjon); 'verdensomspennende'","Gramo samarbeider med organisasjoner i andre land.","Roma-konvensjonen gjør at du kan få vederlag når musikken din spilles i utlandet.","Gjensidig beskyttelse iht. Roma-konvensjonen sikrer fordeling på tvers av tilsluttede land.","Representasjonsavtale; SCAPR; Tilknytning","Nei","Rome Convention","Grunnlag for internasjonalt samarbeid. Ikke alle land er tilsluttet.","Roma-konvensjonen 1961"
"Representasjonsavtale","Avtale med søsterorganisasjoner","Avtale som sikrer betaling fra utlandet (representasjonsavtale)","Avtale mellom Gramo og tilsvarende organisasjoner i andre land om gjensidig innkreving og fordeling.","CRM-loven § 3 bokstav i","Vernetid","Lav","Forventning om dekning i alle land. Ikke alle land har avtaler.","Nei","'verdensomspennende'; 'global dekning'","Gramo har avtaler med organisasjoner i mange land.","Gjennom representasjonsavtaler kan du få vederlag når musikken din spilles i utlandet.","Representasjonsavtaler iht. CRM-loven § 3 bokstav i sikrer fordeling på tvers av land.","Roma-konvensjonen; SCAPR; IFPI","Nei","Representation agreement; Reciprocal agreement","Viktig for internasjonale artister. Avtalenettverk utbygges kontinuerlig.","CRM-loven § 3 bokstav i"
"Bruker","De som spiller musikk","Virksomhet som spiller musikk offentlig (bruker)","Person eller virksomhet som bruker lydopptak på en måte som utløser vederlagsplikt - radio, butikker, hoteller etc.","CRM-loven § 3 bokstav j","Bruk","Lav","Kan forveksles med 'bruker' i digital sammenheng (sluttbruker/forbruker).","Nei","'kunde' (de er ikke kunder, de er vederlagspliktige); 'abonnent'","Butikker og radioer som spiller musikk.","Brukere er virksomheter som spiller innspilt musikk offentlig og betaler vederlag for det.","Bruker iht. CRM-loven § 3 bokstav j utfører handlinger som utløser vederlagsplikt.","Vederlag; Offentlig fremføring; Lisens","Ja","User; Licensee","Skille mellom rettighetshavere (får vederlag) og brukere (betaler vederlag).","CRM-loven § 3 bokstav j"
"Tariff","Prisliste","Prisliste for bruk av musikk (tariff)","Fastsatte satser for hva brukere skal betale for ulike typer musikkbruk.","CRM-loven §§ 28, 35 bokstav c","Bruk","Medium","Kan oppfattes som vilkårlig. Transparens er viktig.","Ja","'pris' alene; 'avgift'","Hvor mye det koster å spille musikk.","Tariffen viser hva ulike virksomheter må betale for å spille musikk offentlig.","Tariffer skal baseres på objektive kriterier og vederlaget skal være rimelig, jf. CRM-loven § 28.","Bruker; Vederlag; Lisens","Nei","Tariff; Rate schedule","Publiseres på gramo.no. Kan bringes inn for Vederlagsnemnda ved uenighet.","CRM-loven §§ 28, 35"
"Vederlagsnemnda","Klageorgan for vederlagssaker","Organ som løser tvister om vederlag (Vederlagsnemnda)","Offentlig nemnd som kan fastsette vederlag ved uenighet mellom Gramo og brukere.","Åndsverkloven § 62","Organisatorisk","Lav","Juridisk instans. Kun relevant ved tvister.","Ja","'domstol' (det er en nemnd); 'klagenemnd'","Organ som løser uenigheter om betaling.","Hvis Gramo og en bruker er uenige om vederlag, kan saken bringes inn for Vederlagsnemnda.","Tvist om vederlag kan bringes inn for Vederlagsnemnda, som fastsetter vederlaget bindende, jf. åvl. § 62.","Tariff; Vederlag; Bruker","Nei","Copyright Tribunal; Remuneration Board","Uavhengig nemnd. Avgjørelser er bindende.","Åndsverkloven § 62"
"TONO","Organisasjon for komponister og tekstforfattere","Søsterorganisasjon som forvalter opphavsrett (TONO)","Kollektiv forvaltningsorganisasjon som forvalter opphavsrett for komponister, tekstforfattere og musikkforlag.","Åndsverkloven § 3","Organisatorisk","Høy","STOR forvekslingsrisiko. Mange forstår ikke forskjellen mellom TONO og Gramo.","Nei","'Gramo/TONO' som om de er samme; 'musikkrettigheter' uten presisering","TONO = de som skriver musikken. Gramo = de som spiller den inn.","TONO forvalter rettigheter for komponister og tekstforfattere. Gramo forvalter for utøvere og produsenter.","TONO forvalter opphavsrett etter åvl. § 3, mens Gramo forvalter nærstående rettigheter etter åvl. kap. 2.","Gramo; Opphavsrett; Nærstående rettigheter","Ja","TONO (Norwegian PRO)","KRITISK skille. Samme musikk gir to typer rettigheter: opphavsrett (TONO) og nærstående (Gramo).","Åndsverkloven § 3"
"Opphavsrett","Rettigheter til komposisjonen","Rettigheter til selve verket/komposisjonen (opphavsrett)","Enerett til selve musikkverket - komposisjonen og teksten. Forvaltes av TONO, ikke Gramo.","Åndsverkloven § 3","Juridisk","Høy","Forveksling med nærstående rettigheter er den vanligste misforståelsen.","Nei","'åndsverksrett' (gammelt); bruke 'opphavsrett' om utøverrettigheter","Rettigheter til låten som verk - melodi og tekst.","Opphavsrett gjelder selve komposisjonen. Det er TONO som forvalter dette, ikke Gramo.","Opphavsrett iht. åndsverkloven § 3 tilkommer opphavspersonen til åndsverket.","TONO; Nærstående rettigheter; Komponist","Ja","Copyright","GRAMO forvalter IKKE opphavsrett. Viktig skille mot TONO.","Åndsverkloven § 3"
"Solist/Frontfigur","Hovedartist","Hovedartist på innspillingen (solist/frontfigur)","Utøver som er ledende på innspillingen - vokalist, instrumentsolist eller den som innspillingen markedsføres under.","Gramos fordelingsreglement","Rettighetshaver","Medium","Hvem som er 'solist' kan være omstridt. Fordelingsreglene gir høyere andel.","Kanskje","'hovedartist' i juridisk sammenheng uten presisering","Den som synger eller spiller hovedrollen på låten.","Solister får høyere andel av vederlaget enn akkompagnatører.","Solist defineres i fordelingsreglementet og gis høyere fordelingsvekt.","Akkompagnatør; Utøvende kunstner; Fordeling","Nei","Featured artist; Soloist","Fordelingsreglene skiller mellom solister og akkompagnatører.","Gramos fordelingsreglement"
"Akkompagnatør/Studiomusiker","Medvirkende musiker","Musikere som akkompagnerer på innspillingen (akkompagnatør)","Utøver som medvirker på innspillingen uten å være solist/frontfigur.","Gramos fordelingsreglement","Rettighetshaver","Medium","Grensen mellom solist og akkompagnatør kan være uklar. Påvirker fordelingen.","Kanskje","'backingmusiker' i juridisk sammenheng","Musikere som spiller på låten uten å være hovedartist.","Akkompagnatører får sin del av vederlaget basert på antall og rolle.","Akkompagnatører tildeles fordelingsvekt iht. fordelingsreglementets bestemmelser.","Solist; Utøvende kunstner; Orkester","Nei","Session musician; Accompanying artist","Alle medvirkende har rett til vederlag, men med lavere vekt enn solister.","Gramos fordelingsreglement"
"Dirigent","Dirigent","Musikalsk leder for orkester/ensemble (dirigent)","Utøver som leder et orkester eller ensemble ved innspilling.","Åndsverkloven § 16","Rettighetshaver","Lav","Særregler for klassisk musikk. Dirigent regnes som utøvende kunstner.","Nei","'bandleder' er noe annet","Den som leder orkesteret.","Dirigenter har rett til vederlag når orkesterinnspillinger spilles.","Dirigent regnes som utøvende kunstner iht. åndsverkloven § 16.","Utøvende kunstner; Orkester; Klassisk musikk","Nei","Conductor","Relevant særlig for klassisk musikk og storband.","Åndsverkloven § 16"
