Q#1: Hva kom du til nettsiden for å gjøre?,Brukeroppgave,Q#2: Hvilken rolle besøker du nettsiden som nå?,Annet: Rolle
"For å verifisere om emailen jeg har fått med faktura virkelig er fra dere, før jeg klikker på linken.
Noreply@Mail.maventa.com",Verfisere e-post med faktura fra Gramo,En bedrift utenfor musikkbransjen,Fotograf
ventemusikk sentralbord,Ventemusikk sentralbord,En bedrift utenfor musikkbransjen,
Velge profil,Velge profil,Ikke svart,
Se om dere har tips til å tjene penger på å komponere,Tips om å komponere musikk,Musiker / Artist som gir ut musikk selv,
Telefonere,Telefonere,Musiker / Artist,
Fikk brev i posten,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
For å registrere at vi IKKE spiller musikk for kundene,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Spiller ikke musikk for mine kunder.,Svare på brev om bedriften spiller musikk,Musiker / Artist,
For å registrere mitt svar,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,Musikalsk instruktør med enkeltmannsforetak
svare på om vi spiller musikk i vår butikk,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Svare på om vi spiller musikk for kundene,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Gi beskjed om at vi ikke spiller musikk,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Registrerer at jeg ikke spiller musikk for mine kunder.,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Logga inn for å svare på brev om  Jord og Fjord SA speler musikk. Det har eg svart NEI på før og vil ikkje måtte halde på å svare på det kvar månad,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
For å svare nei,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
Svare på tvangsmeldingen tilsendt fra dere.,Svare på brev om bedriften spiller musikk,En bedrift utenfor musikkbransjen,
"Jeg spiller ikke av musikk for kunder, og så i et brev at dette må registreres",Svare på brev om bedriften spiller musikk,Annet,
Spotify-tips,Spotify-tips,Manager,
Spilt på radio,Spilt på radio,Ikke svart,
jeg ønsker å søke støtte,Søke støtte,Ikke svart,
"Logge inn, og se oversikten over utbetalingene for juni...",Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
Sjekke om jeg har noe opptjent som ikke er betalt ut,Sjekke utbetaling,Musiker / Artist,
se på avregningen,Sjekke utbetaling,Plateselskap,
Utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Plateselskap,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Se utbetalinger,Sjekke utbetaling,Musiker / Artist,
"prøver å finne avregningsoversikt for 2023. Kan du hjelpe?
mvh Amund Enger",Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
Sjekke utbetalingene,Sjekke utbetaling,Musiker / Artist,
Se utbetalinger,Sjekke utbetaling,Musiker / Artist,
Sjekke avregning,Sjekke utbetaling,Plateselskap,
Sjekke saldo,Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
Utbetaling fra gramo,Sjekke utbetaling,Musiker / Artist,
Få tilgang til Isrc-koder og sjekke avregning,Sjekke utbetaling,Musiker / Artist,
undersøke vederlag for en musiker,Sjekke utbetaling,Ikke svart,
Sjekke neste utbetaling / oppdatering av statistikk.....,Sjekke utbetaling,Ikke svart,
Sjekke hva utbetalingen blir,Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
"Jeg fikk se en melding om at Gramo forbereder utbetaling. Jeg prøvde å logge meg på, men både mailadr og passord var feil, fikk jeg se. Derfor søker jeg på medlemsskap enda jeg i mange år har mottatt utbetalinger fra Gramo",Sjekke utbetaling,Musiker / Artist,
Skjekke utbytte,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Se om jeg hadde penger tilgode,Sjekke utbetaling,Musiker / Artist,
Se min utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetalinger,Sjekke utbetaling,Musiker / Artist,
Sjekket utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetalingen,Sjekke utbetaling,Musiker / Artist,
Utbetaling til meg,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetalingssaldo,Sjekke utbetaling,En bedrift utenfor musikkbransjen,
Se på utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke avregning,Sjekke utbetaling,Musiker / Artist,
Sjekke gramo-utbetalinger,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Ikke svart,
please can i have a track level payment statement for our December payment?,Sjekke utbetaling,Manager,
Se min gramo avregning og hente ned excel-ark for alle spilte for 2024.,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
sJEKKE UTBETALING,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling som skal skje i dag.,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Se på avregningen,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetalinger,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
se utbetaling,Sjekke utbetaling,Musiker / Artist,
Sjekke utbetaling,Sjekke utbetaling,Musiker / Artist,
Se på innkomne lroner,Sjekke utbetaling,Musiker / Artist,Styreleder i familieselskap som forvalter min fars rettigheter som musiker og artist mv
se uitbetalingen,Sjekke utbetaling,,
Se etter utbetaling,Sjekke utbetaling,Musiker / Artist,
"Hei, jeg kan ikke se å ha mottatt siste betaling",Sjekke utbetaling,Musiker / Artist,
Se på min utbetaling,Sjekke utbetaling,Musiker / Artist,
"Heisann, jeg har litt over 2000kr på gramo brukeren min og la inn kort informasjonen min idag, når kan jeg få det utbetalt?",Sjekke utbetaling,Musiker / Artist,
sjekke utbetalinger,Sjekke utbetaling,Musiker / Artist som gir ut musikk selv,
"Hei! Så at jeg fikk penger fra Gramo nå. På nettsiden står det 100k, men fikk bare 41k på konto. Hvorfor?",Sjekke utbetaling,Musiker / Artist,
Se avregninger,Sjekke utbetaling,Annet,
"Hei, jeg har fått feil utbetaling fra dere. Hvem snakker jeg med?",Sjekke utbetaling,Musiker / Artist,
Jeg har ikke fått utbetalingen min. Hvorfor ikke?,Sjekke utbetaling,Musiker / Artist,
Sjekke at alt ser riktig ut,Sjekke status / oppdatere hva som er registrert i Gramo,Plateselskap,
Se om låtene mine er registrert i Gramo,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Sjekke status,Sjekke status / oppdatere hva som er registrert i Gramo,Plateselskap,
Sjekke utgivelser,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
sjekke ut ting,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
For å se på singel utgivelsen. Men her var det ingenting av en eller annen grunn?,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
"sjekke mine registrerte låter, og om noe må etterregistreres",Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Bare sjekker status,Sjekke status / oppdatere hva som er registrert i Gramo,Ikke svart,
For å sjekke om riktig bankkontonr er registrert på meg.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
sjekke diskografi,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
For å finne ut om innspillinger jeg har vært med på har blitt registrert. Det har de med svært få unntak ikke blitt. Er tydeligvis for dårlige rutiner hos de ansvarlige.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke diskografi,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
"Kun for å sjekke noe på min katalog, men kode ble sendt til en tlf jeg ikke lenger har nummer til +34 602135559, jeg husker ikke nummer 100% men nytt nummer er +34 600 321 541 og dere kan gjerne ringe meg hvis dere vil ha mer bekreftelse eller maile meg på arvidberge@hotmail.com",Sjekke status / oppdatere hva som er registrert i Gramo,Plateselskap,
For å logge inn og undersøke mine registrerte innspillinger,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Følge opp diskografi og forbrede ny utgivelse,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
"Sjekke om et album var registrert. Hvis ikke, registrere det.",Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke staus,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Se om jeg hadde lagt inn min siste utgivelse her,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
"Har vært i studio og spilt inn tre låter, har med nye folk i bandet og måtte bare sjekke innom slik at de som ikke er medlem i Gramo kan melde seg inn.",Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
For å se om alt var i orden. Evt om jeg burde oppdatere noe.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
For å sjekke utgivelsesnummer,Sjekke status / oppdatere hva som er registrert i Gramo,Plateselskap,
Sjekke om alle utgivelser var registrert,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
for å sjekke info til utgivelse,Sjekke status / oppdatere hva som er registrert i Gramo,Ikke svart,
Sjekke om all de siste utgivelsene er registrert,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Logge meg inn å se hvilke låter jeg er kreditert på,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke diskografien.,Sjekke status / oppdatere hva som er registrert i Gramo,Ikke svart,
Sjekke om en plate var registrert som jeg er med på,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke om jeg er registrert på en låt som nylig er utgitt,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke min konto,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Bare for å være oppdatert. Har tenkt å registrere ny utgivelse snart der jeg er både produsent og utøver.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Sjekke sida mi,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke om jeg var lagt til som utøver på noen produksjoner.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke mine produksjoner,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Sjekke diskografi,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke mine registrerte opplysninger,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Sjekke om jeg er registrert og evt endre opplysninger,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Sjekke detaljer i noen av utgivelsene mine,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
"Hei!
Tror vi er medlem av GRAMO, men over 20 år siden vi sist var  i kontakt med dere :)  Kan du sjekke om Lube Records fortsatt er registrert? 
Mvh Eivind",Sjekke status / oppdatere hva som er registrert i Gramo,Plateselskap,
Finne ut mer om ISRC + få profilen min oppdatert slik jeg burde gjort for flere år siden,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,
Se oppdateringer.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Hvorfor er det flere registreringer på samme utgivelse?,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
sjekke om ver er registrert,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
"Sjekka oppdatert informasjon, pluss lasta ned nokre dokumenta (statistikk, årsmeldingar, årsmøtedokumenta, osb.)",Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
For å se om profilen min er oppdatert med de siste utgivelsene jeg har vært med på.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,CMO
Heisann! Jeg fikk beskjed av en artist jeg jobber med om å ta kontakt. Jeg har vist ingen produsent profil hos dere.,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist som gir ut musikk selv,"Studenproduksjon, teater"
Se oversikt,Sjekke status / oppdatere hva som er registrert i Gramo,Musiker / Artist,
Sjekke pris,Sjekke pris,En bedrift utenfor musikkbransjen,
sjekke priser og vilkår,Sjekke pris,Musiker / Artist som gir ut musikk selv,
Pris pr år tivoli,Sjekke pris,En bedrift utenfor musikkbransjen,
sjekke pris,Sjekke pris,En bedrift utenfor musikkbransjen,Webradio
Jeg driver en svømmehall og lurer på hva det vil koste pr år å spille musikk enkelte dager for våre gjester?,Sjekke pris,En bedrift utenfor musikkbransjen,
"Hello, I´m from IPF, k.o. Slovenia. Collective org. for producers and performers. I´m searching tarrif for taxi at your page. Do you calculate remuneration for using music in a taxi?",Sjekke pris,Annet,
"Finne pris for bruk av innspillt musikk i studentproduksjon, teater",Sjekke pris,Annet,
Finne tono kostnaden for nærradio,Sjekke pris,Annet,
Beregne avgift for kundelokale,Sjekke pris,En bedrift utenfor musikkbransjen,
Jeg prøver å finne ut hva forskjellige næringer må betale for å bruke musikk. Ser at prisene er veldig lave. F.eks 'Både bakgrunns- og høy musikk' i et serveringslokale på 150-200kvm koster bare 11674 kr pr år. Denne summen burde vel egentlig være pr kveld for å matche det det koster å leie inn musikere for å produsere musikken.,Sjekke pris,Musiker / Artist som gir ut musikk selv,
100,Sjekke pris,En bedrift utenfor musikkbransjen,
"Hei, how can I find out the costs for a webradio playing music? I only found lokal radio calculator. Thanks",Sjekke pris,Radio,
Sjekke pris,Sjekke pris,En bedrift utenfor musikkbransjen,
lisens på musikk brukt på web/sosiale medier,Sjekke pris,En bedrift utenfor musikkbransjen,
"Hei! Jeg eier 1 butikk, men jobber med å åpne 2 til butikker. Får man noen kvantumsrabatt ved flere lokasjoner?",Sjekke pris,En bedrift utenfor musikkbransjen,
Sjekke om nonza,Sjekke om Nonza,Musiker / Artist som gir ut musikk selv,
sjekke om jeg fortsatt er medlem,Sjekke om jeg har bruker / medlemskap hos Gramo,Musiker / Artist som gir ut musikk selv,
"Hei, usikker på om jeg har bruker hos gramo eller ikke. Under artistnavn Mathilde Teigen.. kan dere se noe?",Sjekke om jeg har bruker / medlemskap hos Gramo,Musiker / Artist,
Sjekke om jeg er medlem,Sjekke om jeg har bruker / medlemskap hos Gramo,Musiker / Artist,
Hei er jeg Kenneth Michaelsen medlem?,Sjekke om jeg har bruker / medlemskap hos Gramo,Musiker / Artist som gir ut musikk selv,
hvordan vet jeg om låten min har blitt spillelistet på nrk p13 radio,Sjekke om en låt er spillelistet på radio,Musiker / Artist,
Koster det noe å få copyright til en tekst,Sjekke om det koster noe å få copyright til en tekst,Musiker / Artist som gir ut musikk selv,
Sjekke nye Gramonummer,Sjekke nye Gramonummer,Plateselskap,
Sjekke om det er aktuelt for meg å melde meg inn.,Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,
"Finne ut hvem som kan være medlem, om artisten jeg er manager for burde være medlem her i tillegg til i TONO. Og for å finne standardkontrakt/forslag til kontrakt mellom artist og manager",Sjekke medlemsfordeler / vurdere medlemsskap,Manager,
Får medlemmer forsikring?,Sjekke medlemsfordeler / vurdere medlemsskap,Ikke svart,
Informasjon Vurderer medlemsskap,Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,
"Hei, koster det penger og være medlem?",Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,Master
Sjekke om jeg bør bli medlem,Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist,
hva er medlemsfordelene,Sjekke medlemsfordeler / vurdere medlemsskap,Ikke svart,
"For å se om Gramo er det rette for meg når det gjelder opphavsrett til låter jeg har skrivd. Er i ett band ifra Sverige, som jeg er vokalist og låtskriver i og ville se litt ang dette om opphavsrett.",Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist,
"Jeg er medlem av tono, skal jeg også være medlem av gramo.",Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,
"Skal melde meg inn i tono, må eg da samtidig registrere meg i gramo?",Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,
Sjekke hva det koster å bli medlem,Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist,Kjernekar
Hvor mye koster det å være medlem,Sjekke medlemsfordeler / vurdere medlemsskap,Musiker / Artist som gir ut musikk selv,
koster det penger her?,Sjekke medlemsfordeler / vurdere medlemsskap,Annet,
Sjekke kontoinformasjon,Sjekke kontoen,Musiker / Artist som gir ut musikk selv,
Sjekke kontoen min!,Sjekke kontoen,Ikke svart,
Sjekke konto,Sjekke kontoen,Musiker / Artist,Låtskriver
Sjekke konto,Sjekke kontoen,Ikke svart,
Sjekke min konto,Sjekke kontoen,Musiker / Artist som gir ut musikk selv,Privat som mener at alle Norske musikere skal spilles like mye på NRK og ikke bare et fåtall utvalgte.
"Sjekke Intercom vs Skyra :-)
Mvh Are",Sjekke Intercom vs Skyra :-),Annet,
sjekke registreringer,Sjekke info på registrerte innspilling(er),Musiker / Artist,
Sjekke metadata,Sjekke info på registrerte innspilling(er),,
Søke opp en sang med ISRC-kode,Sjekke info på registrerte innspilling(er),Manager,
"HEi, jeg trenger å sende mail til dere for å sjekke hva dere har registrert på et sted vi har",Sjekke hva som er registrert på en bedrift,En bedrift utenfor musikkbransjen,
For å finne ut hva en låtskriver tjener på avspillinger,Sjekke hva man kan tjene / få utbetalt,Annet,
Estimere utbetaling på bakgrunn av antall avspillinger på radio,Sjekke hva man kan tjene / få utbetalt,Manager,
"Ønsker å finne ut hvor mye, eks.: Åge Aleksandersen får fra NRK når han blir spilt i allefall 5 ganger i døgnet?",Sjekke hva man kan tjene / få utbetalt,Annet,
Hei! Vår butikk vil gjerne spille musikk for våre gjester. Hva vil dette koste?,Sjekke hva det koster,En bedrift utenfor musikkbransjen,
Oppdatere mob nr,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
For å forandre konto opplysninger.,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
Endre kundeopplysninger,Sjekke / Oppdatere kontaktinformasjon,En bedrift utenfor musikkbransjen,
endre bankkontonummer,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,
endre navn,Sjekke / Oppdatere kontaktinformasjon,Plateselskap,
Sjekke kontaktinfo,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,
Skifte e-postadresse,Sjekke / Oppdatere kontaktinformasjon,Ikke svart,
Legge inn nytt kontonummer,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,
Hei. Hvordan endrer man tlf nr som er registrert på vårt orgnr?,Sjekke / Oppdatere kontaktinformasjon,En bedrift utenfor musikkbransjen,
Bytte bankkonto,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
Oppgradere mine opplysninger,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,
Skifte adresse og bankkontonr,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
"Endre bankkonto
Og det fikk jeg til",Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
"Hei! Når man har hatt et orgnr. knyttet til Gramo og bedriften har endret navn og orgnr. hvordan går vi frem for å finne og overføre de gamle opplysningene?
Tidligere registrert orgnr. 985 480 672 (MORROWLAND Ronny Andre Reierstad)
Nytt orgnr. 931 219 022 (Morrowland Reierstad)
Mvh
Ingrid og Ronny Reierstad",Sjekke / Oppdatere kontaktinformasjon,Plateselskap,
"hei jeg ser at mitt gamle firmanavn fortsatt er registrert, vi har nytt navn nå, for en tid siden var jeg i kontakt med dere vedrørende vår registrantkode, fikk beskjed at jeg kunne bruke den fortsatt men den er registrert på et firma som er lagt ned og ett nytt er opprettet, ville gjerne hatt det nye navnet registrert på min side",Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,Privatperson
Jeg hadde feil kontonummer registrert i gramo.,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist,
Hei. Jeg ønsker å flytte labelet mitt fra mitt enkeltpersonsforetak til mitt AS. Hvordan gjør jeg? Og hvor lang tid tar dette?,Sjekke / Oppdatere kontaktinformasjon,Musiker / Artist som gir ut musikk selv,
hvem eier de enkelte sporene på en innspilling,Sjekke / oppdatere eierskap på en innspilling,Musiker / Artist som gir ut musikk selv,
Finne info om hvordan en kan overføre en albumproduksjon fra ett plateselskap til et annet,Sjekke / oppdatere eierskap på en innspilling,Plateselskap,Student
Se hvem som har rettigheter til en plateutgivelse,Sjekke / oppdatere eierskap på en innspilling,,
"Jeg kom for å se om dere har lagt til Soundmachine nå som ""godkjent"" strømmetjeneste","""Sjekke """"godkjente"""" strømmetjenester""",En bedrift utenfor musikkbransjen,
"Sikre roaylties. Jeg komponerer musikk, skriver også noen tekster selv. Spiller gitar og synger.",Sikre royalties,Musiker / Artist som gir ut musikk selv,
Finne oversikt over hvor mange ganger en låt ble spilt på radio,Se statistikk,Annet,
Se statistikken,Se statistikk,Musiker / Artist som gir ut musikk selv,En som betaler Gramo
Eg kom dit for å sjå på statistikken.,Se statistikk,Musiker / Artist,
Se topplistene,Se statistikk,Musiker / Artist,
Sjekke statistikk fra radioavspillinger til en skoleoppgave.,Se statistikk,Annet,
Se min side,Se Min side,Musiker / Artist,
Se «min side»,Se Min side,Musiker / Artist,
Sjekke min side,Se Min side,Musiker / Artist,
Se min side,Se Min side,Musiker / Artist,
