Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hvorfor kom du til nettsiden?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"29. Jun 2025 16:07:27",01JYY6ZC7CQSGV5DH4KPTBPA93,01JYY6ZDVN5JK7NZD0BXVSYP1V,,https://www.gramo.no/om-gramo/om-gramo,mobile,Annet,Annet,,,,,,,,
"11. Nov 2025 12:50:11",,01K9SF7PX7SJVN3BRWQ51TAG8V,,https://minside.gramo.no/login,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"30. Sep 2025 14:20:30",01JZJZMKMBQZYB8DRRP8NQM49W,01K6DFT7EZ95M3BAND1G30VZ8T,,https://minside.gramo.no/user,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,true,"Musiker / Artist som gir ut musikk selv",,,,,"Selvstendig verk"
"24. Sep 2025 11:42:39",01K39W8CRYF6WXTVWWF4VS9SNC,01K5XRFCVRD03SXGBZWEDF6VQC,,https://minside.gramo.no/user,mobile,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"11. May 2025 10:35:19",01JTZEJ19CZ6K2JDJ0KS9DJ7W7,01JTZEJ3FDWG5946V75NNYR3DK,,https://www.gramo.no/bedrift/gramo-for-bedrifter,mobile,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"15. May 2025 13:27:37",01JVA2130N9KK693NJ7H1SCEYR,01JVA213TX1QYPBHGPQ3F5PWS4,,https://www.gramo.no/bedrift/priskalkulator,desktop,Annet,Annet,,,,,,,,
"14. May 2025 06:35:17",01JQX2YW6KSSGB7RCDR5BXKAEC,01JV6R0N6BPFYFJGQ40DYY2WQ9,,https://minside.gramo.no/user/discography/releases/daac52f9-7c0a-48bb-b1fb-8ef2b2cd6766?__INIT_WAS_CALLED__ember17487648459751618007414923__=true,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"30. Oct 2025 09:24:09",,01K8T6VBY1J861ZDQ0267P4VSM,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,,,,,,
"19. Jun 2025 10:29:17",01JY3VQGTV2NADE1S1CKHP48RJ,01JY3VQHJQEQDR57W44WKBNG8K,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gbraid=0AAAAADjLDNaeALy6XAmsFoPZHood74pIU&gclid=CjwKCAjw6s7CBhACEiwAuHQckltSNa7GbNskLLyXWk8X2XJq74WXjnt_EBdpd7BcbNcMu6g-cD-DYhoCk-gQAvD_BwE,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"23. May 2025 10:58:10",01JVYCKYS1KE0R6G4A8M4Z39CR,01JVYCM026TTP5NXBBAHND4VFB,,https://www.gramo.no/kontakt,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"25. Jul 2025 10:17:53",01K10HCZXCQNHVQKNBZA0S4FCY,01K10HD0P23VNY4AF94H9JWAEE,,https://www.gramo.no/medlemskap/isrc-kode,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"05. Aug 2025 19:35:20",01K1XVN424GMC5BAP72GFSC59S,01K1XVN4VN3T79XEKW2Y858A34,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gbraid=0AAAAADjLDNZ9BTFQjDgvGtSZdwZs0Nt13&gclid=EAIaIQobChMI2_yZhLX0jgMVY2eRBR0FkiL4EAAYAiAAEgInc_D_BwE,mobile,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"10. Jun 2025 16:55:43",01JXDC88XGB1TWH5JXWZJCMZG9,01JXDC8A4ZQERTR6SSVJKAQWAQ,,https://www.gramo.no/medlemskap/utbetalingskalkulator,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"18. Oct 2025 13:35:25",,01K7VRF5ENV08SZY6WYNNY8XXX,,https://www.gramo.no/bedrift/priskalkulator,null,Annet,Annet,,,,,,,,
"14. May 2025 21:27:10",01JV8B29YMDTW7ADJQ3F81MWV3,01JV8B2AW6EK5T7HN53JYH31TV,,https://minside.gramo.no/user/discography/release/new,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,,,,,,
"20. Jun 2025 02:22:10",01JY5J8P5Y4Z5M0D7NC1GK6B4D,01JY5J8PXS14TJW3G0W17JQS9W,,https://www.gramo.no/medlemskap/utbetalingskalkulator?ref=blogg.fiken.no,mobile,Annet,Annet,,,,,,,,
"04. Sep 2025 06:56:46",01K49R5M9T4KAK4B1ZPWC5YJYS,01K49R5NCPJTSR0ZTXWZHX3FTK,,https://www.gramo.no/medlemskap/utbetalingskalkulator,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"23. Nov 2025 12:00:34",,01KAR97PT659C1BEBPE5GZF00E,,"https://www.gramo.no/kontakt#message-member-team, https://minside.gramo.no/user",desktop,Annet,Annet,,false,,,,,,
"16. Jul 2025 14:35:02",01K09TG17FBKXGVKEARQB7DWW3,01K09TG2CZAT5Y2SC9N1M3HZ5Z,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gclid=Cj0KCQjwm93DBhD_ARIsADR_DjGJXApZ2uiXF5cphcNNB4HExsdMDPNUyO0pxWaJf3bY_u5DRAIzoNMaAhhJEALw_wcB,mobile,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"29. Sep 2025 09:32:50",01K6AD1B9MVP8QD1WN0S0GMT5B,01K6AD1BSRBHN2M5AZW3MMZZ5M,,https://minside.gramo.no/user,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"01. Jul 2025 09:43:16",01JXWAVN61JGCN41H9AFV4ETCM,01JXWAVNX6XR1WEFNHWBS2K068,,https://www.gramo.no/kontakt#message-member-team,mobile,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"10. Jun 2025 17:35:18",01JXDEZ2VWXFG57W1GY8FTWH34,01JXDEZ3P9PXX2Q97TCHKWDM03,,https://www.gramo.no/,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,true,,,,,,
"02. Dec 2025 16:31:31",,01KBFYDZ14EYAHDYW656PXM06P,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,false,,,,,,
"09. Nov 2025 20:51:32",,01K9N6530PHDBCRT7EEXZKFKPV,,https://minside.gramo.no/user,desktop,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,,,,,,,
"20. Nov 2025 12:04:15",,01KAGJ9NXDB1TEER6FWKZAPQSR,,https://minside.gramo.no/login,desktop,"Sjekke medlemsfordeler","Sjekke medlemsfordeler",,true,"Musiker / Artist",,,,,
"11. Oct 2025 11:42:10",01K79H73HXVN2RQSJ6CHN379YA,01K79H753TFX7K557ST7FBA3DK,,https://www.gramo.no/medlemskap/bli-medlem?gad_source=1&gad_campaignid=281464730&gclid=Cj0KCQjwgKjHBhChARIsAPJR3xd42bzA2YKPVWWx3PG2ObLWlpfoM1wlnKvycHL2JQG9r4FuOfGcYR4aAkylEALw_wcB,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"26. Nov 2025 14:29:06",,01KB00S9RH0C889482VPF1Q8HX,,https://www.gramo.no/logg-inn,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"27. Jul 2025 10:27:04",01K15PN6DQWHYWE7QQ0DV09YBF,01K15PN7KDD9X2711DG4VDR7DH,,https://www.gramo.no/?gad_campaignid=281464730&wbraid=ClQKCQjw-ZHEBhCHARJDAI8Gm3hDkvd6uLoJz2H7y8ZmuUUU1IRBkjHrQAGZINYy_I-9dGwgry9riKSMUolnXw6s8Zih9zvhZ8jCDGSMNVebfxoCp_M,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"09. Jun 2025 13:36:04",01JXAEEHYD5EA9CDTMZ9T53HSN,01JXAEEJQY8S20VW8WFGY7FJZX,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"13. Aug 2025 19:37:48",01K142R40WMJW9MXQ4MHR330SK,01K2JEYQSNXSZ19YP744M6C8AG,,https://minside.gramo.no/user,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"13. Jul 2025 09:44:25",01K01JPFB58H8C7DSSQ0JW9H0R,01K01JPGZET54Q9RQY9AEVMVN1,,https://www.gramo.no/,mobile,Annet,Annet,"Hvem eier rettighetene til utgitt musikk?",false,Annet,Privatperson,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"15. Sep 2025 07:56:17",01K565XXX0ZRSZCPSNTMYP44AS,01K565XZ06XY90EA4BDA9PDTKN,,https://minside.gramo.no/user,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,,,,,,
"07. Jul 2025 11:28:54",01JZJ9M3KHVQYBCC3YCB5DJHKN,01JZJ9M4C1RCF2AJ4AD3R4SJ2F,,https://minside.gramo.no/login,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"06. Jun 2025 14:36:49",01JX2TQT0ZV3FJE934TG2KNJCJ,01JX2TQV5Y1MYX54MBYZAJEQDW,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"17. Oct 2025 16:19:53",,01K7SFFH864Q8228XK3QC07P5K,,https://www.gramo.no/medlemskap/utbetalingskalkulator?_gl=1*15mo3k9*_ga*MjU4MDY1ODcwLjE3NjA3MTc5NDI.*_ga_F3XX7WCPBD*czE3NjA3MTc5NDIkbzEkZzAkdDE3NjA3MTc5NDIkajYwJGwwJGgw,null,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"22. Jul 2025 14:36:34",01K0S90AXYHAMTYR87J4RWB8KY,01K0S90CBM3DMCHP0QKGMVVMDB,,https://www.gramo.no/?gad_source=5&gad_campaignid=281464730&gclid=EAIaIQobChMIofXXltjQjgMVJEuRBR3MuTOWEAEYASAAEgIzVfD_BwE,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"01. Jun 2025 16:47:31",01JWP6700WBVS8JFX5JQF00HTQ,01JWP670Y9W8HJJ0AFSCNTM7RQ,,https://minside.gramo.no/user,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,,,,,,
"21. May 2025 10:43:41",01JVQESGN1FVNKHD506KE9BEWP,01JVQESGY7J00TD1357QQ967XK,,https://www.gramo.no/logg-inn,mobile,Annet,Annet,,,,,,,,
"20. May 2025 08:43:50",01JVPDS139EP698W0VKWDBXHNP,01JVPDS3209FNPFZ3KNGQD0F2B,,https://www.gramo.no/bedrift/priskalkulator?ref=blogg.fiken.no,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"12. Sep 2025 10:27:12",01K4YQC9NYHQHFRHWE0QZGW1X6,01K4YQCBEHDS0FEW69RMSJTDH2,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,,,,,,
"09. May 2025 11:16:00",01JTTC3TRSHGG43P7M4NJW7XGH,01JTTC3V5Z8SFSGYQHSZ0RFMF7,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,true,,,,,,
"26. May 2025 14:13:23",01JW68TDZCE5EPVZXN0WER1F57,01JW68THMN6WB7JV0PVXEYWDH4,,https://minside.gramo.no/user,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"01. May 2025 06:32:44",01JT58NJBBY1H7HNCJ0HJZYS5F,01JT58NJEDBSS1WXKW3Q6RHR08,,https://minside.gramo.no/login,desktop,"Kontakte Gramo","Kontakte Gramo",,true,"Musiker / Artist",,,,,"musikken skal være avspilt på radio i 2024, men ser ingen registrering hos Dere"
"13. Sep 2025 12:46:41",01K51HCRY7HT5480SSCKJQJ6MN,01K51HCSZR4QEFPV1CQBJ5Y8C0,,https://www.gramo.no/logg-inn,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,Manager,,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg prøver igjen senere",
"06. Jun 2025 14:26:49",01JX2T581T673QA8G57NK5G2MR,01JX2T58S5M2AA3PSGXR5RZRRT,,https://www.gramo.no/,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,"Bedrift utenfor musikkbransjen",,,,,
"03. Nov 2025 07:42:39",,01K94A8RJBWHT01W6ZRBJADXGZ,,https://www.gramo.no/logg-inn,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg prøver igjen senere",
"01. Jul 2025 11:04:05",01JZ2TEMH1NRJE6RXKCR002V3M,01JZ2TENMBYM0TCS2T2NMD5VWR,,https://musikkbruk.gramo.no/kunde/ny,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"28. May 2025 17:25:26",01JWBYSXE2TVRB1AAD67V3JQZ6,01JWBYSYTQHCDXCTNPCXZSAS6X,,https://www.gramo.no/aktuelt/dette-lyttet-vi-til-i-2024?utm_source=Informasjon+fra+Gramo&utm_campaign=4d5bdbb110-EMAIL_CAMPAIGN_2025_03_11_08_57&utm_medium=email&utm_term=0_-4d5bdbb110-105779647,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,Annet,,,
"01. Jul 2025 16:14:36",01JZ3C8CS6N1ASWCFXMBHK4YWP,01JZ3C8DVFGEWQMQBFWJVHP9V9,,https://www.gramo.no/medlemskap/utbetalingskalkulator,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"10. Sep 2025 17:22:24",01K4TA7SV89EVBWN8QPPKFTSNF,01K4TA7TJCMSKR9EJMV4Z0N3M4,,https://www.gramo.no/,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"16. Aug 2025 17:48:58",01K2HHGY082P7MBVERQVTE99G3,01K2HHGZ7HG4RPTW8B75YDMVSB,,https://minside.gramo.no/login,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,,,,
"23. May 2025 13:38:36",01JVYNTW5E238FT78VM5A76CPA,01JVYNTX0Y0T14GZY735R1PGFY,,https://www.gramo.no/,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist",,,,,"usikker på hvor stor / liten man må være for å ha isrc-nr, og om det egentlig er nødvendig når man for første gang skal legge ut noe på Indigoboom"
"11. Nov 2025 16:45:12",,01K9SWVAHP4JB55MABRVC8VSP3,,https://minside.gramo.no/user,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"17. Jun 2025 08:53:46",01JXYHF0Y41WSAP6CY81G7EHVY,01JXYHF22E1H4RPT6BTCWZPEEB,,https://www.gramo.no/,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"10. Aug 2025 16:59:18",01K2AEPJCQ067TFJDD4MHG362V,01K2AEPK2E4GCPR5VDCFW84Y6B,,https://www.gramo.no/kontakt#message-bedrift-team,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Bedrift utenfor musikkbransjen",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Hei. Vår regnskapsfører har gjort oss oppmerksom på at vi har en kreditnota på 2104,42kr med nr 1119072"
"29. Oct 2025 08:29:51",,01K8QH2F0SGY1P898HP66GDT43,,https://www.gramo.no/medlemskap/utbetalingskalkulator?_gl=1*8571jq*_ga*MTYwMTUzNDc1OS4xNzU5NDkxMzE1*_ga_F3XX7WCPBD*czE3NjE3MjYyNDUkbzMkZzAkdDE3NjE3MjYyNDUkajYwJGwwJGgw,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,,,,,,
"18. Sep 2025 08:53:25",01K5E0B1XNCP435NX4BHX642D9,01K5E0B328VBYJEBEXQ38ANGRA,,https://www.gramo.no/om-gramo/om-gramo,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"30. Jun 2025 08:10:59",01JYS30FBXQKCQ8PZWS4B22EAG,01JYS30G56C0CRFDW51HJWC85S,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gbraid=0AAAAADjLDNYLjteixGE6yKHaUowzhMLli&gclid=Cj0KCQjw64jDBhDXARIsABkk8J6FC0m8tEjQI4u10JtnW-ZvyGflpvkr4uHLM9w9Wy5iIhj5lBhFHtkaAnCzEALw_wcB,mobile,Annet,Annet,,,,,,,,
"22. Nov 2025 05:00:43",,01KAMYW3354HG3MY5ECKV51TVW,,https://minside.gramo.no/user,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"21. Sep 2025 11:34:16",01K5P0MTZ47VDDNGZW0V7XTJE4,01K5P0MWJDQJRTC10759BPA82V,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gbraid=0AAAAADjLDNaYO1nYnoZq90td0sTkyULpo&gclid=EAIaIQobChMI-Yzzw-DpjwMVS2WRBR2bXgE3EAAYAiAAEgKDV_D_BwE,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"26. Jul 2025 16:41:48",01K13SR4B618891GK2N1M4ZHKG,01K13SR531MZV33C1509AKCQ13,,https://www.gramo.no/aktuelt/chris-holsten-leverte-fjorarets-mest-spilte-lat-pa-norsk,desktop,Annet,Annet,,,,,,,,
"30. Jun 2025 18:16:03",01JZ10SKP4G8B2K9K12RTR62KB,01JZ10SMK37SBYSR7068273AX1,,https://www.gramo.no/,mobile,"Registrere rettighetskrav","Registrere rettighetskrav",,,,,,,,
"03. Dec 2025 16:56:13",,01KBJJ7PZJA103P3936CP01S37,,https://www.gramo.no/bedrift/priskalkulator,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,,,,,,
"03. Aug 2025 06:57:31",01K1QARDDSYCKVM2TGF8NNV7MY,01K1QAREKV0VVFJ0J68A46H2WS,,https://www.gramo.no/logg-inn,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"10. Nov 2025 09:20:20",,01K9PH0SWW659EWTY5N9QG3CK6,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,,,,,,
"09. Sep 2025 18:10:08",01JWET2G0BJ3M44QRH5S3AM9CM,01JWET2GNPVZKW6A2JENNYCC6W,,https://minside.gramo.no/profile,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"11. May 2025 05:41:57",01JTYXRJRB4D0YBN2HX4AB7F8A,01JTYXRK6F9A6PB814W7EEN5GW,,https://www.gramo.no/,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"27. Jun 2025 12:27:06",01JYRN6Q1QG7E48E1AKN30109V,01JYRN6RDX1JTZAR1NPP98FVYN,,https://www.gramo.no/,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,,,,,,,
"23. Jul 2025 18:26:58",01K0W8JGR8F5ZFEBGND14F8WDW,01K0W8JHY5H6T7EVQ8F1JGTB8B,,https://www.gramo.no/bedrift/priskalkulator,unknown,"Sjekke pris for musikkbruk",Annet,,,,,,,,
"12. Jun 2025 07:46:41",01JXHHJ1VV9M0C8XFTFRKHM5C2,01JXHHJ2AZR8FT31CS5F0Q22RV,,https://www.gramo.no/,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"13. Sep 2025 22:40:14",01K52KQBNABTP2FNP8MYS2F6H3,01K52KQC77G6PPFJRH91X1TD6W,,https://minside.gramo.no/user/recordings,unknown,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"10. Sep 2025 14:56:03",01K4T1ZE10AQQ880ZDWWJ1W497,01K4T1ZEWH5THC621MX409KDME,,https://www.gramo.no/,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,Plateselskap,,,,,
"17. Nov 2025 22:54:06",,01KA9ZQX9W8XQGR7QH5ZPS5XBE,,https://www.gramo.no/,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,,,,,,
"21. Aug 2025 14:39:16",01JZ2NF9VDAVJGWTMCJ2YYWQ06,01K36GXZNVED4X2JMKZFXZ86RW,,https://www.gramo.no/medlemskap/utbetalingskalkulator,desktop,Annet,Annet,,,,,,,,
"16. Nov 2025 06:28:47",,01KA5ND7E6J8FT2MZ37TV637Q2,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGX8ipqtKjJcSaf9o-opW4NpQ_yjOZakCpTnRbApef8FlxT1DCB7mIaApzcEALw_wcB,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"24. Jun 2025 10:08:34",01JYGP76150039WEB3HTW1FADB,01JYGP76SDG4GJTEET9JCP3CT9,,https://www.gramo.no/?gad_source=1&gad_campaignid=281464730&gbraid=0AAAAADjLDNbIy2t6vlgutnCPRanfYHlxB&gclid=CjwKCAjwmenCBhA4EiwAtVjzmhEoYEGUKmOSqubCtj7rGiokf_l9wpV2HFPe-rwH2UcImkuJQRXQeRoCbJcQAvD_BwE,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,false,"Musiker / Artist",,,,,
"25. May 2025 07:24:39",01JW357BADJPZRPYDKBM6FMMPJ,01JW357BZXDE400YK026YFQRC3,,https://www.gramo.no/,mobile,Annet,Annet,,,,,,,,
"14. Jun 2025 18:47:24",01JXQW83KH8KEPHPJN80YH11ZR,01JXQW865GH5YST3BBQB21XJND,,https://www.gramo.no/medlemskap/utbetalingskalkulator,mobile,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"30. Sep 2025 12:19:46",01K6D8M3EYPTKQQ9RFNF4NGKDV,01K6D8M45BVD3MDQN5ZYMYMC9S,,https://www.gramo.no/kontakt,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"27. Jun 2025 23:07:29",01JYST9VV04SQFK4TY5XQEZVGB,01JYST9WKXBKXE4BYWA2SJCX0Z,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"12. Jun 2025 16:47:14",01JXJGJT40824HWMJ91RYH1F6W,01JXJGJTW0TZRDHK3Z2SDTSP0A,,https://minside.gramo.no/user,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,,,,,,,
"01. Nov 2025 14:55:52",,01K8RN6V738T7S9K95HTEGHN0T,,https://minside.gramo.no/login,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist",,,,,
"01. Sep 2025 12:48:12",01K42N2PQVKZDMKAWZYAPHWMNK,01K42N2QKEBN67AK43GEQDDQHN,,https://minside.gramo.no/user,desktop,Annet,Annet,,,,,,,,
