Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hva kom du til nettsiden for?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"10. Jun 2025 17:28:32",01JXDE3D9RSBT538K8ZJQY5X0S,01JXDE5QS58YVH1EHD4CAPRDQC,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,,,,
"26. Sep 2025 11:27:02",01K62W7FNC1646MTVXJW50SMMW,01K62WDAD4X0FXFMNCHEG9R84J,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Bedrift utenfor musikkbransjen",,,,,
"04. Jul 2025 11:58:12",01JZABRDNSHE71P020X9GFRN2B,01JZAMT400Z8X2T3HYBP3F9D68,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,Plateselskap,,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","skulle legge til utøvere på innspilling, fant ikke ut hvordan"
"22. Nov 2025 20:41:11",,01KAPMS3JFQ8CSJVMB148Y58JJ,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,true,"Musiker / Artist",,,,,
"19. Sep 2025 08:51:18",01K5GJDEPNWAJERFD4PNQ6DB88,01K5GJPZ0C8SBY5Y496K0JBTYX,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg dropper det","Fikk beskjed om at ""noe gikk galt"" da jeg trykte på send. Samtidig er det en tung og rotete nettside å registrere verk på."
"02. Sep 2025 16:23:58",01K435NK5K319Z0DR5618K7B8D,01K45KVWA4WYWDCJ0B6YKTJHPG,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"28. May 2025 07:52:36",01JWAXTT96G038ZEZN30GW2PG9,01JWAY0GVGHAM53J1DX0CR9W3J,,https://www.gramo.no/toppoppgaver,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist som gir ut musikk selv",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo","jeg har mottar penger fra gramo i 2024, men har ikke fått årsoppgave - får ikke logget inn på Gramo heller"
"03. Jun 2025 12:08:55",01JWTTM62JVWV5M6NPQ9AAQFWR,01JWTV25WRY19AYN5PMW5APMRW,,https://www.gramo.no/toppoppgaver,unknown,Annet,Annet,"Vet for lite om bransjen.Prøver å oppdatere meg. Hvordan finner jeg ut om min låt You som ligger ute på Spotify, er registrert på Gramo? Og hva som er forskjellen mellom Gramo og Gramart. Trenger dere min e-postadresse?",false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"05. Jul 2025 08:01:41",01JZAND8GYZWNNCFTXJRSP7B4A,01JZAPJVBCT4PWS61795HZZ0HX,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"06. Sep 2025 14:50:15",01JXTVQ9Z3RAJSDBBBJ1QDQ242,01K4FR30W9ACA7SGNGNY0FQXRF,,https://www.gramo.no/toppoppgaver,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist",,,,,
"06. Nov 2025 07:52:56",,01K9C2ENTPQ0SXPR9RYEFBV4SC,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"09. Sep 2025 18:25:28",01JWET2G0BJ3M44QRH5S3AM9CM,01K4QVKBHNQDSNY6BZQQTBYKBS,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist",,,,,
"16. Aug 2025 18:02:23",01K2HHGY082P7MBVERQVTE99G3,01K2T0QXR8VJWE0PQMNGJ2BFC9,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,Annet,"ISRC nummer leser om det nå","Ingen alternativ passer",
"04. Nov 2025 19:57:37",,01K9874AQNE9T0Q0SMEE2QM7F6,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,Annet,,,,,
"04. Nov 2025 14:39:39",,01K97MY1BHEMBRNXVS37Q0QBW8,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"07. Jul 2025 10:47:56",01JZJ7Z2KH420GYW22ZC39E1E1,01JZJ7Z2ZXX25776FR8F3J4TW3,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Hvordan legge inn til label?"
"03. Jun 2025 10:23:43",01JWTN2ER6YD0FNS601HY4JCXG,01JWTN2F3RZAD7GNVCJWQQYECZ,Årsmøte,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"skulle sjekke sakslista til årsmøtet",true,"Musiker / Artist som gir ut musikk selv",,,,,
"06. Oct 2025 09:58:32",01K6WEM26RP918M0C3QSMCZQ09,01K6WFA25NM44RCYFT6DEFPZAD,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"15. Sep 2025 15:14:37",01K56Z1X6REH4EAV0TMKS2WYE2,01K56Z1XFEC4PET184949P5DNR,,https://www.gramo.no/toppoppgaver,tablet,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,true,"Musiker / Artist",,,,,
"26. Nov 2025 14:49:58",,01KB0A8JPQM0DTCX4PT7NGHJS9,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"20. Jun 2025 19:48:18",01JY64H8PPK436RJX35X0QJYBA,01JY7E4YQ9TXBWMTRYYSN5RFVS,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","det er ikke-intuitive tunge nettsider"
"12. Jun 2025 11:39:29",01JXHYHS0Z42N9DH7VY6DBZ2XA,01JXHZ01Q1319S8YT4KFGC926W,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"14. May 2025 19:23:56",01JV8411CNTQMSJJTZP1GVK4V1,01JV8411QGN0DDSKM79K7FCGEF,Årsmøte,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"gi fullmakt til Creo",true,"Musiker / Artist",,,,,
"12. Nov 2025 10:04:47",,01K9VRCAV8JWNEXX89EJMYRKXR,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"31. Oct 2025 13:55:39",,01K8X8TCBF29JV3104CCWGQR33,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,Annet,"Må vente på registrering av medlemskap","Jeg prøver igjen senere",
"11. Nov 2025 14:47:08",,01K9SP4WFMVQV5YCNBC06KZD0B,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"21. Sep 2025 14:00:02",01K5P9605PBJSM49MQ7N8N9NX4,01K5P960E4PTKZXRREZ7A1C9QR,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,Radio,,,,,
"11. Sep 2025 12:54:29",01K4WDCDZXCH5ANNSQ51DNBKK3,01K4WDEVMD7CKFSX67T9BGY7CK,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder",Annet,"jeg trenger aa skape isrc kode til utgivelse. hvor kan jeg gjøre dette ",false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Ingen alternativ passer",
"12. Jun 2025 09:49:26",01JXHR95JH6K85GDNVP3JQQJW7,01JXHRPC8KA4BAJB66HX7T6WQQ,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere rettighetskrav",,true,"Musiker / Artist som gir ut musikk selv",,,,,"Jeg er produsent og artist som går under navnet UGANG, vi har en sang som heter FUCKED (DumDum Boys 2025) som har vært på radio og vil gjerne kunne registrere den"
"13. Oct 2025 08:38:43",01K7E8H7YMVQ6Y5GRW5CV8DQMQ,01K7EBHAR2EM0BK67A8GGK2J76,,https://www.gramo.no/toppoppgaver,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"15. Aug 2025 13:26:41",01K2PYH3CN4ZVPRRC9WFC672SJ,01K2PYH3M99Q4T1Z7XP6VFPEE4,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",HSS001
"28. Aug 2025 17:16:10",01K3QW9JK5AEJ505S274W9RYHJ,01K3RTVRR6J6PQ4RC1Z5GE5S8D,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål",Annet,"hei. jeg lurer på om katalognummer er det samme som isrc kode?",true,"Musiker / Artist",,Annet,,,
"15. Jul 2025 10:37:59",01K04KR8ZJAV6M6M70T75BV0CK,01K06TJSEEJCAKQZ2MMRW4Q2RA,,https://www.gramo.no/toppoppgaver,unknown,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,,,,,,
"25. Sep 2025 16:18:45",01K60TN7V7AWDMT70DWA65YM54,01K60TPT81T7PYYF18WGKZYSR7,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Finne ledig stilling",false,Annet,"Potensiell nyansatt","Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"22. Sep 2025 15:18:10",01K5RYTVKWQEAV1R9Q0RYDCZYY,01K5S01NAZCPNHQBFN83J3DRQA,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"18. Jun 2025 11:57:24",01JY1DY66R66TMBV4TB7Z79JT3,01JY1ED358EY9PR7Z2V1K1PTWP,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Musiker / Artist som gir ut musikk selv",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo",
"24. Nov 2025 07:45:50",,01KATD6W1CNTMVZKTVTTNE40A4,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"meget slitsomt å få pop up fra deg ti ganger",false,Plateselskap,,Annet,,,
"04. Sep 2025 17:16:30",01K4AVGDBCZ230KRE5BH3VG94J,01K4AVNC5S7FGF1Z83M9HKFRDF,,https://www.gramo.no/toppoppgaver,mobile,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,,,,
"21. Aug 2025 09:34:56",01K35ZFDNCDG4GXGSC1R0TG36D,01K35ZP5ZFY5JCJT236161ECXV,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,Annet,,,
"13. May 2025 20:52:55",01JV5PF82NA0H16QA72SN4JH7Q,01JV5PQR79G8WERFZD1EECKVM0,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere kontaktinformasjon",Annet,"Skulle skifte passord og endre personopplysninger (navn). Fikk ikke gjort noe av det.",false,"Musiker / Artist som gir ut musikk selv",,Annet,"Fikk ikke til å endre.","Jeg tar kontakt med Gramo",
"22. Jul 2025 16:15:13",01JVPJBGSY9BPCR6F3XT8HT44H,01K0SENGHDXEH75C348WDYD1VC,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,Plateselskap,,Annet,"Fikk ikke registrert musikere","Jeg tar kontakt med Gramo",
"30. Sep 2025 11:43:31",01K6D6YCSPPVYZKXT40M78907T,01K6D6YDAAJYA4CHV97HBSBMTG,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"08. Oct 2025 08:16:55",01K6MXNEYF47BASZADQ3A4EK9G,01K71E9MBGPG1TAGNYWPF825W0,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,"Musiker / Artist",,,,,
"22. Aug 2025 10:58:27",01K38PRZEG91N2EH9VJPTTN8PF,01K38PVXV4CG8MZYQZW86S1BAS,,https://www.gramo.no/toppoppgaver,desktop,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,,
"30. Oct 2025 10:57:49",,01K8TC869Q019DQ7KC3JT5WGKT,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere kontaktinformasjon",Annet,"Endre telefonnummer",true,"Musiker / Artist",,,,,"Endre telefonnummer"
"03. Jun 2025 19:21:27",01JWVK6SPAGNGNPY8E69X4FKE6,01JWVKVCJJV99GNXF1QWP4AZG9,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,Annet,"Eksamens elev og arrangør for konsert","Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Kunne dere har utvidet nettsiden deres og kanskje fått til en søkebar som kunne gjøre det lettere å få svar? "
"20. May 2025 12:13:59",01JVPSSZF1G1CHFA0NYTNWEC0G,01JVPSSZV3BGYM0JFQZY6RWJGZ,,https://www.gramo.no/toppoppgaver,mobile,Annet,Annet,,,,,,,,
"16. Sep 2025 17:40:04",01K59SRA9YX53TH2TVJ1Z9N9NE,01K59SS7R9YDZBRMM54MBSAF6Q,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist som gir ut musikk selv",,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Ingen alternativ passer","Fyller ut ut albumet, og får så vite at ""noe gikk galt"", men ikke noe om hva. Har sett over flere ganger men finner ikke noe feil. Hva skal jeg gjøre?"
"06. Jun 2025 11:38:31",01JX2G7N16BMPFGQ34ECBT04DQ,01JX2GHT30RVZTRZ4HRJV37QXP,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo","Det er så lenge siden forrige innlogging at jeg ikke lenger har detaljene. SKulle få meldt inn de som spilte på den siste Loenly Crowd-singelen ""Wait Till Tomorrow"". Jeg kan kontaktes på stig.jakobsen@amedia.no"
"28. Aug 2025 14:54:54",01K3NDS0Y9MKPYP0T2972MRQ71,01K3RJS85D5XH4ST7H0W50QX6E,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Jeg tar kontakt med Gramo","Jeg finner ikke ut hvordan jeg skriver inn koder"
"03. Jun 2025 08:08:25",01JWT9GZT77ZASD25NGCKJQ916,01JWTDB4N27VV9VC6Q5YWWQDFA,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist som gir ut musikk selv",,Annet,"Jeg finner ikke mulighet for å redigere","Jeg tar kontakt med Gramo",
"11. May 2025 09:25:46",01JTZAD2MHS59K4QV8GGWY1AZR,01JTZAM3GYS6B7SQ0PTX1710G3,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"14. May 2025 13:56:57",01JV7HA53YR3572JSCPE5KA808,01JV7HA5EDYTBJT9AD1S1QHFNT,Årsmøte,https://www.gramo.no/toppoppgaver,mobile,Annet,Annet,Fullmakt,false,,,,,,
"25. Nov 2025 10:00:04",,01KAX7929HBZRKF9XYYJ39Q815,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,,,,,,,
"07. Jul 2025 07:56:22",01JZHVXX08VZ1VAV943YFVJJ6H,01JZHY5HPTG84FZ75B5BJF9PWA,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"23. Jul 2025 09:16:43",01K0V6V2VQJKJ9PJ1QBD33B8Y1,01K0V942EPBWECY7D20Q6ZSDJY,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"18. Oct 2025 18:39:17",,01K7W9WMVC2FP7MK5PH7KD14XK,,https://www.gramo.no/toppoppgaver,null,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,false,"Musiker / Artist",,Annet,"Havnet utagor","Jeg dropper det",
"13. Oct 2025 08:16:30",01K7E8N4TE20530F20X124TGNF,01K7EA8R38G5NM00FWWMJPS3KA,,https://www.gramo.no/toppoppgaver,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,,,,
"03. Jun 2025 10:54:58",01JWTPRXCWH0E3MZZC4KNGSKHS,01JWTPVW110C1S209FPP2SPBHZ,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Sak  5BRWT5 ",false,,,,,,
"12. Oct 2025 12:36:52",01K7C6NCWKGFFPS35YRAMHXCPT,01K7C6RP8YRZMW8JSFE98DSVPT,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,,,,,,,,
"08. Jul 2025 13:07:57",01JZ8D2XV0P7A02455H60DW904,01JZN2CPFC8QCXGPTXQQZQJMB0,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,Plateselskap,,"Det oppstod tekniske problemer (innlogging, skjema, feil)",,"Jeg tar kontakt med Gramo",
"10. Jun 2025 11:01:09",01JXCNM6DCCBT6NXQW6K5VNJ8W,01JXCR08F165EQMYZVXA6MNHMS,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Innholdet var vanskelig å forstå",,"Jeg tar kontakt med Gramo",
"14. Aug 2025 13:31:13",01K2MADB38BET8JTWHCMMA8FX5,01K2MCDN8MX9TQHVDRCGZ33ZFX,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"20. May 2025 11:46:59",01JVPR8FCW63ACTRAQTEXWA8MF,01JVPR9877H2FDBPTWJYJ9XW12,,https://www.gramo.no/toppoppgaver,mobile,Annet,Annet,"   ",false,Annet,"  ",Annet,"   ","Ingen alternativ passer","   "
"02. Jun 2025 12:36:54",01JWRA1BEXB7TM56WSG78ZASQ7,01JWRA9SZA2J97X9QV6XW38VK8,,https://www.gramo.no/toppoppgaver,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo",Annet,"Vil bare sjekke min katalog. Masse jeg ikke har meldt inn i årenes løp. ",,,,,,,
"17. Jul 2025 18:39:47",01K0A26VVP9XBR8J4QZN4ZWPTA,01K0CTYKHRAZ425B6HT1F57BH7,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere kontaktinformasjon","Sjekke eller oppdatere kontaktinformasjon",,true,"Musiker / Artist som gir ut musikk selv",,,,,
"20. May 2025 11:46:44",01JVPR8FCW63ACTRAQTEXWA8MF,01JVPR8QBGHPTBSAC1JK8387QZ,,https://www.gramo.no/toppoppgaver,mobile,Annet,Annet,,,,,,,,
"26. May 2025 00:37:15",01JW501GERD917GC4K05F3CG0Y,01JW50ATE4SMF69TKAP14JVS0E,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,Annet,"Ikke medlem enda. =)","Ingen alternativ passer",
"29. Oct 2025 20:36:29",,01K8RTZ024FWT1SVS532CJ72KP,,https://www.gramo.no/toppoppgaver,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"14. Oct 2025 16:35:01",01K7HS3RVVBNREE8QM6FGKAEAW,01K7HS5XVB26A0FR6CNFN4VMYR,"Registrere meg",https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"jeg har registrert meg som utøver, men har også masterrettighetene til alle mine utgivelser",false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"20. Jun 2025 19:15:04",01JY64H8PPK436RJX35X0QJYBA,01JY7C7KD183V6TW6A7YWP7RF2,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","dere må oppdatere beskrivelsen av hvordan man gjør dette. Stemmer ikke."
"14. Nov 2025 14:34:57",,01KA1CMJP220PHBF9BAD0JPQBV,,https://www.gramo.no/toppoppgaver,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,true,"Musiker / Artist",,,,,
"08. Sep 2025 10:05:05",01K4MCC9742GSK01MD53ZZGTN7,01K4MCJ0DJE6WP07NYKR5D7DCC,,https://www.gramo.no/toppoppgaver,desktop,"Finne veiledning og svar på spørsmål","Finne veiledning og svar på spørsmål",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo","Jeg vil utrykke meg på jobben med AI generert musikk. (som jeg ihht Suno har rettighet til) Kan jeg gjøre dette vederlagsfritt siden dette er AI generert musikk?"
"13. Oct 2025 17:05:19",01K7F88QRCVKS0FG5P1ZVGY9SW,01K7F8GS4KEXBBHE4QJYGMFK3D,,https://www.gramo.no/toppoppgaver,mobile,"Ordne med ISRC-koder","Ordne med ISRC-koder",,false,"Musiker / Artist",,"Innholdet hjalp meg ikke å forstå hva jeg skulle gjøre",,"Ingen alternativ passer",
