Title,Kilde,Collection,State,Description,Body (rik tekst),Url
Medlemskap i Gramo,Intercom,Medlemsskap,Published,Dette er kriteriene for å bli medlem i Gramo,"Du kan bli medlem i Gramo hvis du kan huke av for en eller flere av punktene under:

- Spiller eller synger på en innspilling (utøver)

- Har masterrettigheter til en innspilling jeg spiller eller synger på (utøver og personlig produsent)

- Har masterrettigheter til en innspilling som noen andre spiller eller synger på (personlig produsent)

- Har et plateselskap med masterrettigheter til en innspilling (selskap)

- Arver et Gramo-medlem

Det er gratis å melde seg inn og du trenger ikke å betale medlemskontigent i Gramo.

Bli medlem i Gramo
​",https://hjelp.gramo.no/nb/articles/4529107-medlemskap-i-gramo
Kan jeg kjøpe forsikring gjennom Gramo-medlemskapet?,Intercom,Medlemsskap,Published,"Du kan ikke kjøpe forsikring gjennom Gramo, men sjekk om din rettighetshaverorganisasjon kanskje tilbyr forsikring.","Nei, du kan ikke kjøpe forsikring gjennom Gramo.

Sjekk med din rettighetshaverorganisasjon, om de tilbyr forsikring.

Her er noen organisasjoner i musikkbransjen:

GramArt
Creo (tidligere Musikernes fellesorganisasjon)
Norsk Artistforbund
FolkOrg
Norsk Skuespillerforbund
Norsk Tonekunstnersamfund
Norsk Lektorlag
Norsk Viseforum",https://hjelp.gramo.no/nb/articles/4384584-kan-jeg-kjope-forsikring-gjennom-gramo-medlemskapet
Forvaltningsavtale,Intercom,Medlemsskap,Published,,"Du tildeler rettighetene dine til Gramo for rettighetsforvaltning ved å inngå en rettighetsadministrasjonsavtale med oss.

Det er gratis å inngå en slik forvaltningsavtale med Gramo. Du kan også velge i hvilke land du vil at Gramo skal forvalte dine rettigheter og kreve inn vederlaget ditt.

Som registrert rettighetshaver i Gramo blir du samtidig medlem i foreningen Gramo og bundet av de til enhver tid gjeldende vedtekter. Se for øvrig pkt. 4 nedenfor.

1. Om Gramo

Gramo er en selveiende og frittstående juridisk person med medlemmer. Verken medlemmer eller andre har krav på foreningens formue eller eiendeler, eller er ansvarlig for gjeld eller andre forpliktelser.

Gramos formål er å overvåke, fremme og kollektivt forvalte de økonomiske nærstående rettighetene til produsenter av lydopptak og utøvende kunstnere som Gramo har fått fullmakt til å forvalte ved lov eller ved overdragelse, lisens eller annen avtale.

Gramo har ikke økonomiske interesser eller økonomisk virksomhet for sine medlemmer som formål.

Gramo er godkjent av Kultur- og likestillingsdepartementet som oppkrevings- og fordelings­organisasjon etter åndsverkloven § 21 annet ledd.

Gramo er registrert som en kollektiv forvaltningsorganisasjon, jf. lov om kollektiv forvaltning av opphavsrett mv. §§ 2 første ledd og 3 a), jf. § 52.

2. Rettighetshavers samtykke ved registrering (oppdrag og mandat)

2.1 – Gramoregistrert rettighetshaver gir Gramo i oppdrag, hvor Gramo ikke er direkte godkjent til å gjøre dette i kraft av lov, til å utøve og håndheve;

a) Vederlagsretten etter åndsverkloven § 21

b) Rett til tilleggsvederlag etter åndsverkloven § 18

2.2 – Gramo kan på rettighetshavers vegne inngå bindende kollektive avtaler, enten selv eller gjennom annen forvaltningsorganisasjon, dog innenfor de grenser som følger av Gramos vedtekter og lovgivningen for øvrig - og som ikke er i konflikt med rettighetshavers øvrige eksisterende forvaltningsavtaler eller individuelt inngåtte avtaler.

2.3 – Med grunnlag i de rettigheter som er overdratt til Gramos forvaltning, kan Gramo inngå avtaler om utnyttelse av rettighetene, og innkreve og fordele vederlag for slik utnyttelse.

2.4 – Gramo kan forfølge urettmessig bruk av de rettigheter som forvaltes, i tvisteløsningsorganer eller for ordinære domstoler.

2.5 – Rettighetene som Gramo forvalter gjelder i og utenfor Norge, med mindre rettighetshaver skriftlig har informert Gramo om at han eller hun har inngått en tilsvarende forvaltningsavtale med en utenlandsk organisasjon, hvis virksomhet er den samme som eller lignende som Gramos, eller med mindre Gramo har varslet rettighetshaver skriftlig og med begrunnelse gitt om at de ikke vil utføre utøvelsen og håndhevelsen av rettigheter eller få dem til å bli utført i et spesifikt land.

3. Spesifikke forpliktelser for rettighetshaver

3.1 – Rettighetshaver må skriftlig informere Gramo så snart som mulig om eventuell adresseendring og/eller bankkonto. Rettighetshaver forplikter seg til generelt å gi Gramo all informasjon som er nødvendig for en forsvarlig utøvelse av forvaltningsoppdraget, herunder å gi korrekt og fullstendig informasjon med hensyn til vederlagspliktig repertoar /katalog.

3.2 – Rettighetshaver forplikter seg til å rapportere så snart som mulig sin tilknytning til en utenlandsk organisasjon hvis aktiviteter er de samme som eller ligner på Gramos.

3.3 – Rettighetshaver er forpliktet til å begrunne overfor Gramo hvilke grunnlag rettighetshaveren har krav på vederlag knyttet til en (fonogram av en) fremføring.

4. Vedtekter, protokoller, regler med videre

4.1 – Rettighetshaver blir bundet av vedtektene og protokoller som følger av disse eller som er knyttet til disse, slik de er vedtatt i dag og som de vil bli besluttet, revidert eller endret.

5. Personvern

5.1 – Gramo behandler personopplysninger om rettighetshavere i samsvar med personopplysningsloven med forskrifter på en lovlig, sikkert og forsvarlig måte. Dette innebærer blant annet at behandlingen av disse opplysningene kun vil bli utført i den grad det er nødvendig for gjennomføring av denne avtalen eller oppfyllelse av Gramos juridiske forpliktelser.

6.1 – Gramo behandler personopplysninger om rettighetshavere i samsvar med personopplysningsloven med forskrifter på en lovlig, sikkert og forsvarlig måte. Dette innebærer blant annet at behandlingen av disse opplysningene kun vil bli utført i den grad det er nødvendig for gjennomføring av denne avtalen eller oppfyllelse av Gramos juridiske forpliktelser.

6. Ikraftsettelse og oppsigelse av avtalen

6.1 – Denne avtalen trer i kraft på dagen for rettighetshaveres signering av deltaker og den inngås på ubestemt tid.

6.2 – Rettighetshaver kan si opp denne avtalen ved skriftlig oppsigelse innen 31. desember i ethvert kalenderår, under overholdelse av en oppsigelsesfrist på minst tre måneder.

7. Lovvalg og vernetingkompetent domstol

7.1 – Uenighet om denne avtalen og de ytterligere avtaler som følger av denne, enten i eller utenfor kontrakt, reguleres av norsk rett og verneting er Oslos tingrett.",https://hjelp.gramo.no/nb/articles/8389769-forvaltningsavtale
Agents and Intermediaries,Intercom,Medlemsskap,Published,Information for agents and intermediaries,"Gramo handles your clients’ right to remuneration when their recordings are used in broadcasting and public performance.

Anyone who has a right to remuneration may be admitted as a Gramo member, in accordance with the provisions of Section 21 of the Copyright Act.

Gramo claims and distributes remuneration to all participating musicians on recordings, both featured and non-featured.
​

The song must be protected – what does that mean?

Registering with Gramo as an intermediary

To represent your clients and apply for membership on their behalf, you'll need to register with Gramo as an intermediary. Here's what we require:

- Full name and address of company

- Full name and address of bank as well as all necessary information for payment

- Name, email address and mobile phone number of contact person with Gramo

- Certification of incorperation

Client applications

Mandatory information and documents you will need to include in your performer applications:

- Gramo membership application form - performing artist by representative (pdf) signed by the agency representative on behalf of the performer by mandate

- Valid identification

- Power of Attorney / Letter of Direction document - signed by the artist (template)

- Termination letter from previously mandated societies or agents if applicable

Accepted Forms of Identification for Processing

• Copy of passport

• Copy of driver’s license

• Copy of national ID card

A passport is highly preferred as it verifies the applicant's nationality, however, if a passport is unavailable, a driver's license or national ID card may also be accepted.

For the identification to be considered valid, it must be up to date and not expired.

For us to accept your application the following must be fulfilled:

- If the artist is or was represented in Norway by another society or agent you must send us a termination letter confirming the mandate transition. 
The document must include date of termination and state any additional collection period if needed.

- Include all mandatory documents and information in each email. You will need to resend all documents if the application is not accepted.

Remuneration generated by your client will be paid out to the agency account. If your clients wish to use their own bank account, this must be clearly stated in the ""Gramo membership application form"".

Please remember to report any client resignation from your agency.

Note! In the event of changes to the geographic scope of the management rights you must send us the resignation signed by the artist no later than October 1st for the resignation to take effect on January 1st the following year.

Please send performer applications to medlem@gramo.no

Payment schedule

We have four annual payments​


Claiming for performers

Gramo no longer accepts repertoire or discographies submitted through Excel sheets. All repertoire will now be managed exclusively through our claims process.

Claims for performers are processed through our dedicated online portal. To gain access and learn more about the claim submission process, please contact:

Kristoffer Eikrem, agent manager.

Email: kristoffere@gramo.no / medlem@gramo.no

Deadlines for intermediaries

To ensure timely processing and inclusion in distributions, please adhere to the following deadlines:

- New Performer Applications: Submit by September 1st for processing before year-end.

- Performer Claims: Submit at least 2 months before the next scheduled distribution to ensure inclusion.

Adhering to these deadlines helps us efficiently process applications and claims, ensuring your clients receive their remuneration as quickly as possible. We recommend submitting well in advance of these deadlines to allow for any necessary clarifications or additional information requests.

",https://hjelp.gramo.no/nb/articles/6103669-agents-and-intermediaries
Signering av forvaltningsavtale,Intercom,Medlemsskap,Published,Signering av forvaltningsavtale ved bruk av bankID,"Slik finner du og signerer du din forvaltningsavtale i Min-Side.

1.) Logg inn på Min-Side

2.) Velg profil tilhørende det medlemskap du skal signere forvaltningsavtale for.

3.) I menyen på høyre side – under ditt navn – velg - Min Gramo-konto

4.) Under Min Profil menyen – velg - Dokumenter

5.) Velg – Signér 

6.) Velg – ok

7.) Les dokumentet og velg – Signér (underskrift)

8.) Scroll videre ned i dokumentet og velg – Signér (BankID)",https://hjelp.gramo.no/nb/articles/7023978-signering-av-forvaltningsavtale
Bli medlem,Webflow,Medlemsskap,Published,,"Du kan ha flere profiler på din gratis Gramo-konto. Utøver: Spiller eller synger på en innspilling. Utøver og personlig produsent: Har masterrettigheter til en innspilling du spiller eller synger på. Plateselskap: Har et plateselskap med masterrettigheter til en innspilling. Hvis du faller inn under flere profiltyper, kan du velge flere når du registrerer deg. 42 000+ artister, musikere og plateselskap er allerede medlem i Gramo.",https://www.gramo.no/medlemskap/bli-medlem
Års- og åpenhetsrapport,Intercom,Om Gramo,Published,Her finner du års- og åpenhetsrapport fra Gramo.,"Rapporter for siste fem år:
🗋 Års- og åpenhetsrapport – 2024 (pdf)

🗋 Års- og åpenhetsrapport – 2023 (pdf)

🗋 Årsrapport med åpenhetsrapport – 2022 (pdf)

🗋 Årsrapport – 2021 (pdf)

🗋 Årsrapport – 2020 (pdf)

Gramo skal offentliggjøre åpenhetsrapporter for virksomheten, i samsvar med lov om kollektiv forvaltning § 36.",https://hjelp.gramo.no/nb/articles/5507948-ars-og-apenhetsrapport
Styret i Gramo,Intercom,Om Gramo,Published,Styret i Gramo består av syv personer. Styreleder er uavhengig.,"Styret i Gramo består av:

- Tre representanter for artistene og musikerne

- Tre representanter for plateselskapene og mastereierne

- En uavhengig styreleder.

Styret som ble valgt på årsmøtet i 2025, består av:

- Cathrine Nagell (styreleder) med vara Nils Petter Hansson

- Eddie Nygren med vara Ivar Noer

- Daniel Nordgård med vara Monika Ifejilika

- Marte Thorsby med vara Lena Midtveit

- Anne Mette Hårdnes med vara Erlend Gjerde

- Hans Ole Rian med vara Ingvild Andrea Tellmann

- Marius Øvrebø-Engemoen med vara Anne Lise Frøkedal

Kontaktinformasjon til oss som jobber i Gramo - se her",https://hjelp.gramo.no/nb/articles/5323027-styret-i-gramo
Hva er Gramo?,Intercom,Om Gramo,Published,"Kort om hva Gramo er, hvorfor vi er til og hva vi gjør.","Gramo er en kollektiv forvaltningsorganisasjon. Ofte omtalt som vederlagsbyrå.

Vi er til for at artister, musikere og plateselskap som investerer talent, tid og penger skal få betalt når innspillingene deres blir gjort tilgjengelig for allmenheten.

Vi eies og drives av våre medlemmer

Medlemmene er Gramos høyeste organ. Det betyr at medlemmene kan bruke stemmeretten sin til å bestemme hvordan vi skal ivareta deres interesser på årsmøtet.

Medlemmene har også representanter i Gramos styre.

Hverdagsmusikken gir lyd til våre liv

Gramo gjør det mulig for radioer, kafeer, butikker, frisører og andre å bruke all den musikken de ønsker for å glede sine kunder og lyttere. Det er kanskje ikke de store summene fra hver enkelt, men med over 16 000 musikkbrukere over hele landet, monner det likevel bra.

Pengene som kommer inn fordeler vi til musikerne, artistene, plateselskapene – slik at de kan fortsette å lage musikken til våre liv.

Dersom du driver en radiostasjon, kafe, restaurant, hotell, treningssenter, eller på annen måte spiller musikk for dine kunder eller gjester, skal du melde inn og betale for dette til Gramo.

Gramo er godkjent av Kulturdepartementet:

- Godkjennelse fra Kulturdepartementet for kringkasting (pdf)

- Godkjennelse fra Kulturdepartementet for annen offentlig fremføring (pdf)

- Godkjennlese fra Kulturdepartementet i engelsk versjon (pdf)",https://hjelp.gramo.no/nb/articles/3638608-hva-er-gramo
Om årsmøtet i Gramo,Intercom,Om Gramo,Published,Årsmøtet er Gramos øverste myndighet.,"Årsmøtet i 2025 er 3. juni kl. 16:00 
​Epicenter, Edvard Storms gate 2, 0166 Oslo
​
Du kan delta fysisk eller digitalt.

Frist for påmelding i 2025 var 27. mai kl. 16:00

Årsmøtet kan du lese om i vedtektene for Gramo

Dokumenter til årsmøtet

🗋 Innkalling og dagsorden til årsmøtet 2025 (pdf)

🗋 Års- og åpenhetsrapport 2024 (pdf)

🗋 Individuelle erklæringer om interessekonflikter fra personer som utøver kontrollfunksjonen (pdf)

🗋 Erklæring om interessekonflikt fra daglig leder (pdf)

🗋 Protokoll fra årsmøtet 2025 (pdf)

Generelle prinsipper
​

Års- og åpenhetsrapporter for siste fem år finner du her

Stemmerett

For artist og musiker (utøver):

- For å få stemmerett må du ha fått utbetalt vederlag i løpet av de tre siste årene før årsmøtet.

For plateselskap og mastereier (produsent):

- For å få stemmerett må du ha opptjent vederlag det siste året før årsmøtet.

Les mer om stemmerett i våre vedtekter

Gi fullmakt for Gramos årsmøte

En fullmakt er et juridisk dokument som gir deg mulighet til å utpeke en annen person eller enhet til å forvalte dine interesser.

Slik gir du fullmakt til årsmøtet

- Les vilkårene: Forstå hvilke fullmakter du gir og under hvilke omstendigheter de kan utøves.

- Velg en representant: Du kan velge en annen person eller enhet som for eksempel GramArt, Creo, IFPI eller FONO.

Frist for å gi fullmakt til årsmøtet 2025 var tirsdag 27. mai kl. 16:00.

Lenke til å gi fullmakt i Min side for 2026 kommer her

Hvis du ikke bruker Min side, kan du gi fullmakt med BankID eller Onfido:
→ Gi fullmakt med BankID (kommer i 2026)
→ Gi fullmakt med Onfido (kommer i 2026)
​
Onfido er digital dokumentkontroll og ""godkjenningsinstans"" hvor du tar bilde av pass eller førerkort og blir verifisert.

Når er det behov å gi fullmakt?

- Når du ikke kan delta personlig: Hvis du av en eller annen grunn ikke kan delta på møtet.

- Representasjon: For å sikre at din stemme blir hørt og din stemme talt med i viktige beslutninger som påvirker organisasjonen.

Trenger du hjelp?

Hvis du trenger hjelp med skjemaet eller har spørsmål, ikke nøl med å ta kontakt.

Har du forslag til saker som skal behandles på årsmøtet?

Alle medlemmer har rett til å sende inn forslag.

Frist for å sende forslag til årsmøtet 2025 var 28. februar kl. 23:59

Send forslag på e-post til forslag@gramo.no
​
Hvis du velger å sende på en annen måte må du passe at det når frem til oss i tide.

Saker til behandling på årsmøtet

Det ordinære årsmøtet skal behandle følgende saker:

- Valg av ordstyrer, referent og to personer til å undertegne protokoll fra årsmøtet 

- Godkjenning av årsberetning og årsregnskap 

- Revisjonsberetning

- Godkjenning av styrehonorarer

- Godkjenning av honorar til revisor

- Ansvarsfrihet for styret

- Valg av styre og varamedlemmer

- Valg av valgkomité

- Valg av statsautorisert revisor

- Eventuelle andre komiteer og utvalg som årsmøtet måtte beslutte opprettet;

- Eventuelle andre saker fra styret, innsendt av medlemmene eller som som etter loven eller vedtektene hører inn under årsmøtet.

Ordinært årsmøte skal der det er relevant beslutte:

- Generelle prinsipper for fordeling av vederlag til rettighetshavere.

- Generelle prinsipper for bruk av beløp som ikke kan fordeles.

- Generell investeringsstrategi for inntekter fra rettigheter og eventuelle inntekter fra investering av disse inntektene.

- Generelle prinsipper for fradrag fra inntekter fra rettigheter og eventuelle inntekter fra investering av disse inntektene, herunder fradrag for bruk av midler til kollektiv fordeling.

- Bruken av beløp som ikke kan fordeles (kollektive midler)

- Risikohåndteringsstrategien

- Godkjenning av kjøp, salg eller pantsettelse av fast eiendom.

- Godkjenning av fusjoner og allianser, oppretting av datterselskap og kjøp av andre enheter eller aksjer eller rettigheter i andre enheter.

- Godkjenning av låneopptak, utlån eller lånegaranti.

- Godkjenne årlig åpenhetsrapport.",https://hjelp.gramo.no/nb/articles/5367408-om-arsmotet-i-gramo
Hva er forskjellen på Gramo og GramArt?,Intercom,Om Gramo,Published,Gramo er en kollektiv forvaltningsorganisasjon. GramArt er en interesseorganisasjon.,"GramArt er en interesseorganisasjon – De jobber for å fremme interessene til artister og musikere.

Gramo er en kollektiv forvaltningsorganisasjon – Vi jobber med å forvalte rettigheter til personer som har sunget eller spilt på en innspilling (utøvere), og til de som har tilrettelagt og betalt for produksjonen av innspillingen (produsenter).

Hva er Gramo? – les mer her",https://hjelp.gramo.no/nb/articles/3641658-hva-er-forskjellen-pa-gramo-og-gramart
Hva er forskjellen på Gramo og Tono?,Intercom,Om Gramo,Published,,"Både Tono og Gramo er kollektive forvaltningsorganisasjoner som jobber med å forvalte rettigheter, men vi gjør det til forskjellige grupper.

- Tono krever opp og fordeler penger til personer som har komponert musikken og skrevet teksten på en låt, samt musikkforlag.

- Gramo krever opp og betaler ut penger til personer som har sunget eller spilt på en innspilling (utøvere), og til de som har tilrettelagt og betalt for produksjonen av innspillingen (produsenter).
​

Hva er Gramo? – les mer her",https://hjelp.gramo.no/nb/articles/3641664-hva-er-forskjellen-pa-gramo-og-tono
Om Gramo,Webflow,Om Gramo,Published,,"Gramo er her for deg. Vi er til for at artister, musikere og plateselskap som investerer talent, tid og penger skal få betalt når den innspilte musikken deres blir brukt på radio eller i det offentlige rom. Betaling for musikkbruk: Radiostasjoner, kaféer, butikker, treningssentre og andre som bruker musikk, betaler vederlag til oss. Gramo finner ut hvem som har rett på pengene: Vi behandler spilletidsrapporter fra musikkbrukerne og kobler disse mot vår database med innspillinger. Gramo utbetaler pengene: Vi utbetaler pengene individuelt til artister, musikere og plateselskapet som har rett på penger når innspillingene blir brukt. Forankret i norsk lov: Gramo er godkjent av Kulturdepartement, og er forankret i åndsverkloven §21.",https://www.gramo.no/om-gramo/om-gramo
Velg riktig musikkleverandør til bedriften,Intercom,For bedrifter som bruker musikk,Published,"Et bra anlegg og gode høyttalere er fint, men det aller viktigste er å ha de rette avtalene på plass for å spille musikk lovlig i bedriften.","Det bedriften din trenger er:

- En musikkleverandør som tilbyr bedriftsabonnement

- En musikkavtale med Tono

- En musikkavtale med Gramo

Musikkleverandør som tilbyr bedriftsabonnement

Det er ikke tillatt å bruke personlige Spotify-abonnement til å spille musikk i bedriften. Heldigvis finnes det flere musikkleverandører som tilbyr musikk som du kan bruke i din virksomhet og her er noen eksempler:

[](https://signup.soundtrackyourbrand.com/2KZPZZZ/PS824/?source_id=pro)

Soundtrack, tidligere kjent som Spotify for Business, tilbyr bedrifter lisensiert bakgrunnsmusikk fra en katalog med over 100 millioner sanger. Med AI-drevet kuratering og fleksibel spillelistekontroll forbedrer det kundeopplevelsen samtidig som det sikrer juridisk overholdelse.

Sjekk ut Soundtrack her

​[](https://liveqube.com/no)

Liveqube er en strømmetjeneste som skreddersyr musikkprofiler for å passe atmosfæren og styrke merkevaren. Vi sørger for at riktig musikk spilles til rett tid og sted, slik at den forsterker en naturlig og positiv kundeopplevelse.

Sjekk ut Liveqube her

Appletify Musicbox leverer musikkløsninger og høyttalere til restauranter, hoteller og butikker. Selskapet leverer musikkstreaming fra Soundtrack.

Sjekk ut Appletify Musicbox her

Musikkavtale med Tono og Gramo

Når musikken er på plass og lyden er skrudd på, må du huske å registrere musikkbruken hos Tono og Gramo.

- Tono for kunder

- Gramo for bedrifter

Må bedriften min betale til både Gramo og Tono?

Lykke til, og ikke nøl med å ta kontakt med oss hvis du har noen spørsmål 😊",https://hjelp.gramo.no/nb/articles/5755822-velg-riktig-musikkleverandor-til-bedriften
Bruk av innspilt musikk i podcast,Intercom,For bedrifter som bruker musikk,Published,Podcast ligger utenfor Gramos virkeområde.,"Podcast ligger utenfor Gramos virkeområde og rettighetshaverne håndterer dette  selv. Ønsker du å benytte innspilt musikk i podcast, må du derfor ta direkte kontakt med dem.",https://hjelp.gramo.no/nb/articles/5883127-bruk-av-innspilt-musikk-i-podcast
Gramo for bedrifter,Webflow,For bedrifter som bruker musikk,Published,"Med en musikkavtale fra Gramo kan du spille all utgitt musikk bedriften måtte ønske for sine kunder og gjester, og følge norsk lov.",Når du har fylt inn informasjon om bedriften oppretter vi musikkavtale med bedriften din. Bedriften vil motta en faktura fra oss. Avtalen løper til du sier opp. Mer enn 16 000 virksomheter betaler til Gramo for sin musikkbruk. Gramo og Tono: Bedriften din må betale til begge organisasjonene. Bruk riktig leverandør: Visste du at bedriften din ikke kan bruke et privat Spotify-abonnement?,https://www.gramo.no/bedrift/gramo-for-bedrifter
Oppsigelse av musikk i bedrift,Webflow,For bedrifter som bruker musikk,Published,"Dersom bedriften din ikke lenger har musikk, TV eller radio som er hørbar for deres kunder eller gjester, må dere sende oss en melding.","Har bedriften din ikke lenger musikk, TV eller radio som er hørbar for deres kunder eller gjester? – Da må du fylle ut dette skjemaet.",https://www.gramo.no/bedrift/oppsigelse-av-musikk-i-bedrift
Priskalkulator,Webflow,For bedrifter som bruker musikk,Published,,Beregn pris for å bruke musikk i bedriften din. Beregningen er et overslag og kan avvike noen kroner fra det du eventuelt skal betale til Gramo.,https://www.gramo.no/bedrift/priskalkulator
Slik får du penger fra Gramo,Intercom,Utbetaling,Published,"Spill inn en låt og få den spilt på radio, på butikken, kaféen, treningssenteret eller liknende.","Spill inn en låt 🎤 🎹
Først og fremst må du bidra musikalsk (utøver) eller økonomisk (produsent) på en innspilling. Låten kan være din egen eller noe som andre har laget.

Låta må bli spilt på radio, på butikken, kaféen treningssenteret eller liknende.  📻 🎵
Dette er grunnlaget for at du skal få penger fra Gramo.

Bli medlem i Gramo ✏️ 
​Medlemskap – les mer her

I tillegg bør du vite følgende:

Du får utbetalt penger inntil tre år etter at musikken har blitt spilt

Det går helt fint hvis musikken din ikke ennå er registrert i Gramo når den blir spilt. Hvis du registrerer din låt hos oss i dag, får du utbetalt penger for den inntil tre år etter at den ble spilt.

Du må ha opptjent minst 300 kroner

For å få utbetalt penger må du ha opptjent mer enn 300 kroner siden siste utbetaling.

Du får utbetaling tidligst året etter at musikken har blitt spilt.

Hvis musikken din har blitt spilt i år, vil du få utbetaling for det tidligst neste år.

Innspillingen må være vernet – og hva betyr det?

For å få penger fra Gramo må låta være vernet.

Etter norsk lov er en låt vernet når:

- En norsk utøver deltar på låta – eller den er gitt ut av et norsk selskap

- En utøver fra EU/EØS deltar på låta – eller den er gitt ut av et selskap fra EU/EØS-området

- Låta er gitt ut av et selskap fra et Roma-konvensjonsland. Det er 92 land som har signert Roma-konvensjonen.

USA er et land hvor det spilles og lages mye musikk, men de har ikke undertegnet Roma-konvensjonen.

Vernetid – tiden et åndsverk er beskyttet av opphavsrett

En innspilling (lydopptak) er vernet i 70 år etter den første gang ble utgitt eller offentliggjort, jamfør åndsverkloven § 21.

Vernetiden på 70 år gjelder for lydopptak etter 1. januar 1963, som er av omfattet av bestemmelsen. 

Lydopptak før 1. januar 1963 er falt i det fri, også kalt ""public domain"". Det betyr at det ikke lenger er beskyttet av opphavsrett.

Trekk

Offentlig myndighet, for eksempel Statens Innkrevingssentral, kan pålegge Gramo å foreta trekk i Gramo-pengene dine. Aktuell myndighet skal informere deg om dette på forhånd.

Gå til utbetalingskalkulator",https://hjelp.gramo.no/nb/articles/3618506-slik-far-du-penger-fra-gramo
Arv i Gramo,Intercom,Utbetaling,Published,,"Introduksjon

Arvinger må ta stilling til om boet etter avdød artist, musiker mv. (utøvende kunstner – heretter omtalt som utøver) skal skiftes privat eller offentlig.

Hva er et dødsboskifte?

Et skifte etter avdød utøver kan skje på forskjellige måter

Mer informasjon om dødsfall, arv og skifte

Ta kontakt med advokat med hvis du/dere trenger bistand med arveoppgjør etter avdød utøver.

Rettigheter i Gramo sammenheng etter utøvers død

Åndsverkloven § 75 regulerer opphavsrettens overgang ved en opphavers død. Etter bestemmelsen er det kun opphavsrett som arves direkte. Det betyr at arv som følge av den vederlagsretten som gjelder for utøvere som medvirker på et lydopptak, jf. åndsverkloven § 21 (Gramoområdet), reguleres av arveloven.

Vederlagsrett er i denne sammenhengen et spørsmål om hvem som skal ha pengene etter avdøde utøver.
​

To trinn

Et arveoppgjør om vederlagsrett etter avdød utøver innebærer en to-trinns-behandling:

- Utbetaling av allerede opptjent vederlag – til dødsboet som er en egen juridisk person.

- Utbetaling av fremtidig vederlag – etter at dødsboet er gjort opp og har opphørt som juridisk person.

Privat skifte av utøvers dødsbo (det vanligste)

Opptjent vederlag:

Gramo krever skifteattest.

Den/de som ønsker å få utbetalt allerede opptjent vederlag til dødsboet etter avdøde utøver, må fremvise skifteattest. Hva dette innebærer fremgår av arveloven § 118.

Skifteattesten viser hvem som er legitimert til til å rå over avdød utøvers eiendeler (herunder opptjent vederlag fra Gramo) og til å forplikte dødsboet.

Viser skifteattesten at det er flere som kan rå over dødsboet (flere arvinger eller verger), må de ovenfor Gramo utpeke en fullmektig for seg (slik at Gramo ikke må forholde seg til flere).

Merk: Gramo vil ikke under noen omstendigheter utbetale opptjent vederlag etter en avdød utøver uten at det fremvises skifteattest.

Fremtidig vederlag:

EnearvingVed privat skifte fordeler enearvingen selv dødsboet på bakgrunn av arvelovens regler og innhold i eventuelt testament.

Enearvingen gir skriftlig beskjed til Gramo hvem som skal ha fremtidig vederlag etter avdøde utøver.

Flere arvingerHer skal arvingene komme til enighet om fordeling av boet (utlodning) på bakgrunn av arvelovens regler og innhold i eventuelt testament.

Samtlige arvinger gir skriftlig beskjed til Gramo om hvem som skal ha fremtidig vederlag etter avdøde utøver.

Medlem i GramoArvinger som mottar vederlag (penger) etter avdødes utøvers vederlagsrett, har rett til å bli medlem i Gramo, jf. lov om kollektiv forvaltning.
​

​",https://hjelp.gramo.no/nb/articles/5817035-arv-i-gramo
